workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_17,there is no light covering,30BUDKLTXFO8BWRPAZGJSJM2P485ET,31,39fcaf51940333b46ab88e9b8b75d248,lamp,ShapeNet,36943f6afca6cbf518134b529d13e79a,lamp,ShapeNet,FALSE,lamp/ShapeNet/36943f6afca6cbf518134b529d13e79a,lamp/ShapeNet/39fcaf51940333b46ab88e9b8b75d248,FALSE,lamp,lamp,0,"['there', 'is', 'no', 'light', 'covering']",5,the target has no shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,there is no light covering,3EG49X351W5D00IKANGG8EL8VL76XK,56,b5a223ea93f39c2c961b70a6f96df2a4,lamp,ShapeNet,908bfd876def9e43714531f0291497fd,lamp,ShapeNet,FALSE,lamp/ShapeNet/908bfd876def9e43714531f0291497fd,lamp/ShapeNet/b5a223ea93f39c2c961b70a6f96df2a4,FALSE,lamp,lamp,0,"['there', 'is', 'no', 'light', 'covering']",5,target has no lamp shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_782,there is no light covering,3WOKGM4L739VSGID77D3G0KO6EF0O7,55,b5a223ea93f39c2c961b70a6f96df2a4,lamp,ShapeNet,908bfd876def9e43714531f0291497fd,lamp,ShapeNet,FALSE,lamp/ShapeNet/908bfd876def9e43714531f0291497fd,lamp/ShapeNet/b5a223ea93f39c2c961b70a6f96df2a4,FALSE,lamp,lamp,0,"['there', 'is', 'no', 'light', 'covering']",7,target does not have an empire shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_986,there is no light covering,3AMYWKA6YDFQ6R4S9WTKP1UFJCG6OJ,108,59ca30266fb153ba50f93b609ce4feaf,lamp,ShapeNet,c2f6c7b7b39fb06fbd4bf7024dfa167d,lamp,ShapeNet,FALSE,lamp/ShapeNet/c2f6c7b7b39fb06fbd4bf7024dfa167d,lamp/ShapeNet/59ca30266fb153ba50f93b609ce4feaf,FALSE,lamp,lamp,1,"['there', 'is', 'no', 'light', 'covering']",2,no shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1371,there is no light covering,33FOTY3KEOEUQG6SDL8CZ59HMONC12,79,bb53a3c6ac9cbd386fa63795f94c4d8c,lamp,ShapeNet,d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,FALSE,lamp/ShapeNet/d87a2d766579f15e38b27a25d1336579,lamp/ShapeNet/bb53a3c6ac9cbd386fa63795f94c4d8c,FALSE,lamp,lamp,1,"['there', 'is', 'no', 'light', 'covering']",4,it has no shade,test,test,test,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_427,there is no light covering,3PJ71Z61R6VSSIZP11YLXF89G2U19I,64,4c266f2b866c59e761fef32872c6fa53,lamp,ShapeNet,a711c673d5b6a4b350075206bc274050,lamp,ShapeNet,FALSE,lamp/ShapeNet/a711c673d5b6a4b350075206bc274050,lamp/ShapeNet/4c266f2b866c59e761fef32872c6fa53,FALSE,lamp,lamp,1,"['there', 'is', 'no', 'light', 'covering']",4,it has no shades,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1154,there is no light covering,3WOKGM4L739VSGID77D3G0KO69X0OF,113,b4af7e9a7338a9a3225afab722d9fd2,lamp,ShapeNet,71090d1b424b4b4b29eb9d04ea723179,lamp,ShapeNet,FALSE,lamp/ShapeNet/71090d1b424b4b4b29eb9d04ea723179,lamp/ShapeNet/b4af7e9a7338a9a3225afab722d9fd2,TRUE,lamp,lamp,1,"['there', 'is', 'no', 'light', 'covering']",8,the bulbs should not be covered by shades,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,there is no light covering,3U5JL4WY5M2ZLDE6RZN1BG1UZP54XR,77,d385523f0cd93d48d6084fb53091249,lamp,ShapeNet,a37f1bd2732ce11981d841466b314f95,lamp,ShapeNet,FALSE,lamp/ShapeNet/a37f1bd2732ce11981d841466b314f95,lamp/ShapeNet/d385523f0cd93d48d6084fb53091249,TRUE,lamp,lamp,1,"['there', 'is', 'no', 'light', 'covering']",6,it does not have a shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1303,there is no light covering,3UNH76FOCUY4P8TM2Z9ZGOP3NMFMY5,112,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,c99eaaeb9b941af62ebeb1e6a8111f53,lamp,ShapeNet,FALSE,lamp/ShapeNet/c99eaaeb9b941af62ebeb1e6a8111f53,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,FALSE,lamp,lamp,2,"['there', 'is', 'no', 'light', 'covering']",8,the target has no shade on the top,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_239,there is no light covering,3ATTHHXXWCHTTKDLCOP55HBD48YXIT,52,4c266f2b866c59e761fef32872c6fa53,lamp,ShapeNet,5614d1c24806ce0a8d1fe8cdc415f4c5,lamp,ShapeNet,FALSE,lamp/ShapeNet/5614d1c24806ce0a8d1fe8cdc415f4c5,lamp/ShapeNet/4c266f2b866c59e761fef32872c6fa53,FALSE,lamp,lamp,2,"['there', 'is', 'no', 'light', 'covering']",4,has no lamp shade,train,test,train,test,"[1, 15, 7, 123, 693, 1260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
