workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1712,it has many arm rails,3WAKVUDHUY94NW2UOSALULM1CCO7UK,61,ec637164befa6a016bba96a850a0781f,chair,ShapeNet,4e3047842ba1a384d2b12aa6a0f050b3,chair,ShapeNet,False,chair/ShapeNet/4e3047842ba1a384d2b12aa6a0f050b3,chair/ShapeNet/ec637164befa6a016bba96a850a0781f,False,chair,chair,2,"['it', 'has', 'many', 'arm', 'rails']",5,it has many arm rails,train,test,train,test,"[1, 23, 24, 30, 517, 1047, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1134,It looks more comfortable,3Z7ISHFUH2OP991N4K1ZPDXBPB08ZI,37,19e2321df1141bf3b76e29c9c43bc7aa,chair,ShapeNet,df609533cd186278398c7598b0d2e5d5,chair,ShapeNet,False,chair/ShapeNet/df609533cd186278398c7598b0d2e5d5,chair/ShapeNet/19e2321df1141bf3b76e29c9c43bc7aa,False,chair,chair,1,"['it', 'looks', 'more', 'comfortable']",4,it looks more comfortable,train,test,train,test,"[1, 23, 33, 34, 2263, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1659,The back is thicker.,36DSNE9QZ7R2UMJZTFN9Y5ZLLJ9JOV,285,be745a383ceccfe453fa79783efbc3bf,chair,ShapeNet,2f6b0ddf12d1311795bea7c29e873d16,chair,ShapeNet,False,chair/ShapeNet/2f6b0ddf12d1311795bea7c29e873d16,chair/ShapeNet/be745a383ceccfe453fa79783efbc3bf,True,chair,chair,4,"['the', 'back', 'is', 'thick', '-er']",5,the back is thick -er,train,test,train,test,"[1, 10, 183, 7, 54, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1128,the seat doesn't have a separate cushion,3FUI0JHJPZR2NJOO7WBUUVKLUZ633V,150,41ab50680dfef43aba5342d638d0c267,chair,ShapeNet,776cdc2ed288076882eddefc99ebacfd,chair,ShapeNet,False,chair/ShapeNet/776cdc2ed288076882eddefc99ebacfd,chair/ShapeNet/41ab50680dfef43aba5342d638d0c267,True,chair,chair,3,"['the', 'seat', 'does', 'not', 'have', 'a', 'separate', 'cushion']",8,the seat does not have a separate cushion,train,test,train,test,"[1, 10, 2255, 39, 40, 84, 26, 85, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1292,The texture of the target is striped.,3BF51CHDTX3L0ZWQ3UIDWRNNUFZ0HR,223,c9913221819588b519fb4103277a6b93,chair,ShapeNet,ddb53381dfd0a2d7d2b12aa6a0f050b3,chair,ShapeNet,False,chair/ShapeNet/ddb53381dfd0a2d7d2b12aa6a0f050b3,chair/ShapeNet/c9913221819588b519fb4103277a6b93,False,chair,chair,0,"['the', 'texture', 'of', 'the', 'target', 'is', 'striped']",7,the texture of the target is striped,train,test,train,test,"[1, 10, 1689, 38, 10, 11, 7, 845, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_757,it has legs that are curved,3R6BYFZZP959JTBVBGJK2KYM4CRXFX,153,chair_0009,chair,ModelNet,93001617daca67ebc8687ff9b0b4e4ac,chair,ShapeNet,False,chair/ShapeNet/93001617daca67ebc8687ff9b0b4e4ac,chair/ModelNet/chair_0009,False,chair,chair,1,"['it', 'has', 'legs', 'that', 'are', 'curved']",6,it has legs that are curved,train,test,train,test,"[1, 23, 24, 547, 172, 16, 51, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1651,It has a thinner back,30H4UDGLT4BAGU1LBCDG3XWSZLVPMN,36,2031dca3aaeff940f7628281ecb18112,chair,ShapeNet,22bee1d9c6357b295493ccf8f26ab2c,chair,ShapeNet,False,chair/ShapeNet/22bee1d9c6357b295493ccf8f26ab2c,chair/ShapeNet/2031dca3aaeff940f7628281ecb18112,False,chair,chair,0,"['it', 'has', 'a', 'thin', '-er', 'back']",6,it has a thin -er back,train,test,train,test,"[1, 23, 24, 26, 60, 9, 183, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_405,The legs are on a pole and the feet are an x.,3E1QT0TDFR23EJCD4GDDPIULT03I84,65,bca76c4925b9a33177a7d775ec38a82c,chair,ShapeNet,891f1cd440afa11517b431cae0dd70ed,chair,ShapeNet,False,chair/ShapeNet/891f1cd440afa11517b431cae0dd70ed,chair/ShapeNet/bca76c4925b9a33177a7d775ec38a82c,True,chair,chair,0,"['the', 'legs', 'are', 'on', 'a', 'pole', 'and', 'the', 'feet', 'are', 'an', 'x']",12,the legs are on a pole and the feet are an x,train,test,train,test,"[1, 10, 547, 16, 20, 26, 1299, 47, 10, 200, 16, 72, 208, 2, 0, 0, 0, 0]"
user_1712,it does not have 4 straight legs,3PJUZCGDJ89A3IJA0M70CPVIAC0980,71,c45ff54d4192633684cd6dc1b226aa5b,chair,ShapeNet,12d7ca3c06faaadf17b431cae0dd70ed,chair,ShapeNet,False,chair/ShapeNet/12d7ca3c06faaadf17b431cae0dd70ed,chair/ShapeNet/c45ff54d4192633684cd6dc1b226aa5b,False,chair,chair,1,"['it', 'does', 'not', 'have', 'four', 'straight', 'legs']",7,it does not have four straight legs,train,test,train,test,"[1, 23, 39, 40, 84, 322, 114, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have arms,3C6FJU71TSMN2GYVB10L7Y6YGA2UYB,103,eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,cb5f7944ec02defcc6a2b7fc00a47507,chair,ShapeNet,False,chair/ShapeNet/cb5f7944ec02defcc6a2b7fc00a47507,chair/ShapeNet/eb32fa1ae8069d0998e0d1738edd4f19,False,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1792,the seat is square and larger,38YMOXR4MWSYB0DU0IKU6V722F7W6X,180,c10b1973a0d692ef910979f825490a99,chair,ShapeNet,662409af279f322eeb82005949031741,chair,ShapeNet,False,chair/ShapeNet/662409af279f322eeb82005949031741,chair/ShapeNet/c10b1973a0d692ef910979f825490a99,False,chair,chair,1,"['the', 'seat', 'is', 'square', 'and', 'large', '-er']",7,the seat is square and large -er,train,test,train,test,"[1, 10, 2255, 7, 50, 47, 94, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2114,The seat is thicker.,3TK8OJTYM3ET6HVUP4E7QTF5QBMPVD,160,ec454747a071b83291a302a171d24a87,chair,ShapeNet,cbbf0aacb76a1ed17b20cb946bceb58f,chair,ShapeNet,False,chair/ShapeNet/cbbf0aacb76a1ed17b20cb946bceb58f,chair/ShapeNet/ec454747a071b83291a302a171d24a87,False,chair,chair,4,"['the', 'seat', 'is', 'thick', '-er']",5,the seat is thick -er,test,test,test,test,"[1, 10, 2255, 7, 54, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_947,Its back rest is taller and less inclined.,3A9AA95ATYFC8NGFJDWUMVL6DQF5PN,38,46c6dec63dd7c45854ca97f654da3901,chair,ShapeNet,1926843fb9da47ad8852b93498ca8c83,chair,ShapeNet,False,chair/ShapeNet/1926843fb9da47ad8852b93498ca8c83,chair/ShapeNet/46c6dec63dd7c45854ca97f654da3901,True,chair,chair,3,"['its', 'back', 'rest', 'is', 'tall', '-er', 'and', 'less', 'inclined']",9,its back rest is tall -er and less inclined,train,test,train,test,"[1, 5, 183, 1154, 7, 53, 9, 47, 229, 2617, 2, 0, 0, 0, 0, 0, 0, 0]"
user_1457,Chair is a simple tulip chair.,31IBVUNM9USHF460B1I2EZ11O56VFN,336,a147244346d84fe398e0d1738edd4f19,chair,ShapeNet,cd9702520ad57689bbc7a6acbd8f058b,chair,ShapeNet,False,chair/ShapeNet/cd9702520ad57689bbc7a6acbd8f058b,chair/ShapeNet/a147244346d84fe398e0d1738edd4f19,False,chair,chair,0,"['chair', 'is', 'a', 'simple', 'tulip', 'chair']",6,chair is a simple tulip chair,train,test,train,test,"[1, 2251, 7, 26, 421, 463, 2251, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2102,The seating section is thicker,3Q5C1WP23OU9RVXDYBL4LZ38A80516,31,5d02aed0e9c93e829b9f2eb77f5e247e,chair,ShapeNet,d764960666572084b1ea4e06e88051f3,chair,ShapeNet,False,chair/ShapeNet/d764960666572084b1ea4e06e88051f3,chair/ShapeNet/5d02aed0e9c93e829b9f2eb77f5e247e,True,chair,chair,4,"['the', 'seating', 'section', 'is', 'thick', '-er']",6,the seating section is thick -er,val,test,val,test,"[1, 10, 2338, 354, 7, 54, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1712,the arms are more narrow,3I2PTA7R3VN0QI2XQDFPOPUYF9IKQU,49,3b0ec945e7290c3a6a0677e97a0ab6ed,chair,ShapeNet,a16c172406430b6af7628281ecb18112,chair,ShapeNet,False,chair/ShapeNet/a16c172406430b6af7628281ecb18112,chair/ShapeNet/3b0ec945e7290c3a6a0677e97a0ab6ed,False,chair,chair,2,"['the', 'arms', 'are', 'more', 'narrow']",5,the arms are more narrow,train,test,train,test,"[1, 10, 2232, 16, 34, 210, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1190,There is a space between the back and the seat.,3X65QVEQI2G7GNAW6VQVJKIW0ZELCV,350,chair_0930,chair,ModelNet,38bdba5f6455c5ff91663a74ccd2338,chair,ShapeNet,False,chair/ShapeNet/38bdba5f6455c5ff91663a74ccd2338,chair/ModelNet/chair_0930,True,chair,chair,1,"['there', 'is', 'a', 'space', 'between', 'the', 'back', 'and', 'the', 'seat']",10,there is a space between the back and the seat,train,test,train,test,"[1, 15, 7, 26, 744, 657, 10, 183, 47, 10, 2255, 2, 0, 0, 0, 0, 0, 0]"
user_505,It has a small piece emerging from under the seat,3K4J6M3CXGM31GZXBQXO0XNZO0LAGE,71,c585ee093bfd52af6512b7b24f3d84,chair,ShapeNet,30f077da43f30e64c862eec8232fff1e,chair,ShapeNet,False,chair/ShapeNet/30f077da43f30e64c862eec8232fff1e,chair/ShapeNet/c585ee093bfd52af6512b7b24f3d84,True,chair,chair,4,"['it', 'has', 'a', 'small', 'piece', 'emerging', 'from', 'under', 'the', 'seat']",10,it has a small piece emerging from under the seat,train,test,train,test,"[1, 23, 24, 26, 111, 65, 3859, 113, 922, 10, 2255, 2, 0, 0, 0, 0, 0, 0]"
user_1651,It looks more relaxing,3YMTUJH0DU9S4W5MMPM4MDGP2S8T44,48,341e24df542e0676d42b9650f19dd425,chair,ShapeNet,3684490885c259e688235335f9e630b0,chair,ShapeNet,False,chair/ShapeNet/3684490885c259e688235335f9e630b0,chair/ShapeNet/341e24df542e0676d42b9650f19dd425,False,chair,chair,0,"['it', 'looks', 'more', 'relaxing']",4,it looks more relaxing,train,test,train,test,"[1, 23, 33, 34, 2359, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
