workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_677,Its base is smaller in diameter.,3C44YUNSI3I7C0V8YJEDK79YJ44PDT,92,vase_0235,vase,ModelNet,c1be3d580b4088bf4cc80585c0d3d970,vase,ShapeNet,False,vase/ShapeNet/c1be3d580b4088bf4cc80585c0d3d970,vase/ModelNet/vase_0235,True,jar,vase,2,"['its', 'base', 'is', 'small', '-er', 'in', 'diameter']",7,its base is small -er in diameter,train,test,train,test,"[1, 5, 103, 7, 111, 9, 90, 268, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,The body is less round.,39GAF6DQWTTQPPCS423HPXX7GV5V1X,54,31c50baef63a3cd0b64920759fcc80ba,vase,ShapeNet,vase_0364,vase,ModelNet,False,vase/ModelNet/vase_0364,vase/ShapeNet/31c50baef63a3cd0b64920759fcc80ba,True,vase,jar,2,"['the', 'body', 'is', 'less', 'round']",5,the body is less round,train,test,train,test,"[1, 10, 45, 7, 229, 134, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_272,It is taller.,3URFVVM167BN76807N24L5F0F37UZU,46,vase_0109,vase,ModelNet,94b833e6157f13565ca1f314f1afc186,vase,ShapeNet,False,vase/ShapeNet/94b833e6157f13565ca1f314f1afc186,vase/ModelNet/vase_0109,True,jar,vase,0,"['it', 'is', 'tall', '-er']",4,it is tall -er,train,test,train,test,"[1, 23, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_272,It is shorter.,3PJUZCGDJ89A3IJA0M70CPVI39Z98M,60,vase_0336,vase,ModelNet,vase_0121,vase,ModelNet,False,vase/ModelNet/vase_0121,vase/ModelNet/vase_0336,False,vase,vase,3,"['it', 'is', 'short', '-er']",4,it is short -er,train,test,train,test,"[1, 23, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1086,The top is wider,3UXUOQ9OKGQK8NOWINTUUKA7Y7R7AS,76,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0160,vase,ModelNet,False,vase/ModelNet/vase_0160,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,True,vase,jar,2,"['the', 'top', 'is', 'wide', '-er']",5,the top is wide -er,train,test,train,test,"[1, 10, 99, 7, 83, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1086,The vase gets narrower as it goes from the base to the top,3UXUOQ9OKGQK8NOWINTUUKA7Y7R7AS,76,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0160,vase,ModelNet,False,vase/ModelNet/vase_0160,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,True,vase,jar,3,"['the', 'vase', 'gets', 'narrow', '-er', 'as', 'it', 'goes', 'from', 'the', 'base', 'to', 'the', 'top']",14,the vase gets narrow -er as it goes from the base to the top,train,test,train,test,"[1, 10, 534, 481, 210, 9, 52, 23, 394, 113, 10, 103, 58, 10, 99, 2, 0, 0]"
user_266,The mouth is bigger.,3H0W84IWBMVXGJPN76TMVKRYKY0REN,90,682de86ee8578339490ad276cd2af3a4,vase,ShapeNet,3f7d866f4e28e8014b3c42e318f3affc,vase,ShapeNet,False,vase/ShapeNet/3f7d866f4e28e8014b3c42e318f3affc,vase/ShapeNet/682de86ee8578339490ad276cd2af3a4,True,jar,jar,1,"['the', 'mouth', 'is', 'big', '-er']",5,the mouth is big -er,train,test,train,test,"[1, 10, 175, 7, 320, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1136,the base is wider,3ND9UOO81MVGULG1NMQWVEPZLA8WLA,48,vase_0351,vase,ModelNet,ee10db30b91b9683f9215f842248bc25,vase,ShapeNet,False,vase/ShapeNet/ee10db30b91b9683f9215f842248bc25,vase/ModelNet/vase_0351,True,jar,vase,1,"['the', 'base', 'is', 'wide', '-er']",5,the base is wide -er,train,test,train,test,"[1, 10, 103, 7, 83, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1689,It is based on a round mate.,3WZ36BJEV59CPVQV14WRURMV5MHBTH,185,81cc70eb5ec9e3c75706d1c54190f27a,vase,ShapeNet,166c3012a4b35768f51f77a6d7299806,vase,ShapeNet,False,vase/ShapeNet/166c3012a4b35768f51f77a6d7299806,vase/ShapeNet/81cc70eb5ec9e3c75706d1c54190f27a,False,jar,jar,2,"['it', 'is', 'based', 'on', 'a', 'round', 'mate']",7,it is based on a round mate,train,test,train,test,"[1, 23, 7, 552, 20, 26, 134, 5479, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,The lips are not curvy.,3ATTHHXXWCHTTKDLCOP55HBED8OXIU,67,vase_0081,vase,ModelNet,4f52256337d0d4a4c6e7cc40a98a4ef5,vase,ShapeNet,False,vase/ShapeNet/4f52256337d0d4a4c6e7cc40a98a4ef5,vase/ModelNet/vase_0081,False,jar,vase,0,"['the', 'lips', 'are', 'not', 'curvy']",5,the lips are not curvy,train,test,train,test,"[1, 10, 1703, 16, 40, 179, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
