workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_677,the base is less big,3C44YUNSI3I7C0V8YJEDK79YJ44PDT,92,vase_0235,vase,ModelNet,c1be3d580b4088bf4cc80585c0d3d970,vase,ShapeNet,False,vase/ShapeNet/c1be3d580b4088bf4cc80585c0d3d970,vase/ModelNet/vase_0235,True,jar,vase,2,"['the', 'base', 'is', 'less', 'big']",5,the base is less big,train,test,train,test,"[1, 10, 103, 7, 229, 320, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the body is less convex,39GAF6DQWTTQPPCS423HPXX7GV5V1X,54,31c50baef63a3cd0b64920759fcc80ba,vase,ShapeNet,vase_0364,vase,ModelNet,False,vase/ModelNet/vase_0364,vase/ShapeNet/31c50baef63a3cd0b64920759fcc80ba,True,vase,jar,2,"['the', 'body', 'is', 'less', 'convex']",5,the body is less convex,train,test,train,test,"[1, 10, 45, 7, 229, 1403, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_272,it is higher,3URFVVM167BN76807N24L5F0F37UZU,46,vase_0109,vase,ModelNet,94b833e6157f13565ca1f314f1afc186,vase,ShapeNet,False,vase/ShapeNet/94b833e6157f13565ca1f314f1afc186,vase/ModelNet/vase_0109,True,jar,vase,0,"['it', 'is', 'higher']",3,it is higher,train,test,train,test,"[1, 23, 7, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_272,it is more low,3PJUZCGDJ89A3IJA0M70CPVI39Z98M,60,vase_0336,vase,ModelNet,vase_0121,vase,ModelNet,False,vase/ModelNet/vase_0121,vase/ModelNet/vase_0336,False,vase,vase,3,"['it', 'is', 'more', 'low']",4,it is more low,train,test,train,test,"[1, 23, 7, 34, 345, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1086,the top is more broad,3UXUOQ9OKGQK8NOWINTUUKA7Y7R7AS,76,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0160,vase,ModelNet,False,vase/ModelNet/vase_0160,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,True,vase,jar,2,"['the', 'top', 'is', 'more', 'broad']",5,the top is more broad,train,test,train,test,"[1, 10, 99, 7, 34, 336, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1086,the vase slims as it goes from the base to the top,3UXUOQ9OKGQK8NOWINTUUKA7Y7R7AS,76,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0160,vase,ModelNet,False,vase/ModelNet/vase_0160,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,True,vase,jar,3,"['the', 'vase', 'slims', 'as', 'it', 'goes', 'from', 'the', 'base', 'to', 'the', 'top']",12,the vase slims as it goes from the base to the top,train,test,train,test,"[1, 10, 534, 4750, 52, 23, 394, 113, 10, 103, 58, 10, 99, 2, 0, 0, 0, 0, 0, 0]"
user_266,the mouth is large,3H0W84IWBMVXGJPN76TMVKRYKY0REN,90,682de86ee8578339490ad276cd2af3a4,vase,ShapeNet,3f7d866f4e28e8014b3c42e318f3affc,vase,ShapeNet,False,vase/ShapeNet/3f7d866f4e28e8014b3c42e318f3affc,vase/ShapeNet/682de86ee8578339490ad276cd2af3a4,True,jar,jar,1,"['the', 'mouth', 'is', 'large']",4,the mouth is large,train,test,train,test,"[1, 10, 175, 7, 94, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1136,the base is more broad,3ND9UOO81MVGULG1NMQWVEPZLA8WLA,48,vase_0351,vase,ModelNet,ee10db30b91b9683f9215f842248bc25,vase,ShapeNet,False,vase/ShapeNet/ee10db30b91b9683f9215f842248bc25,vase/ModelNet/vase_0351,True,jar,vase,1,"['the', 'base', 'is', 'more', 'broad']",5,the base is more broad,train,test,train,test,"[1, 10, 103, 7, 34, 336, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1689,it is based on a curved mate,3WZ36BJEV59CPVQV14WRURMV5MHBTH,185,81cc70eb5ec9e3c75706d1c54190f27a,vase,ShapeNet,166c3012a4b35768f51f77a6d7299806,vase,ShapeNet,False,vase/ShapeNet/166c3012a4b35768f51f77a6d7299806,vase/ShapeNet/81cc70eb5ec9e3c75706d1c54190f27a,False,jar,jar,2,"['it', 'is', 'based', 'on', 'a', 'curved', 'mate']",7,it is based on a curved mate,train,test,train,test,"[1, 23, 7, 552, 20, 26, 51, 5479, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the lips are straight,3ATTHHXXWCHTTKDLCOP55HBED8OXIU,67,vase_0081,vase,ModelNet,4f52256337d0d4a4c6e7cc40a98a4ef5,vase,ShapeNet,False,vase/ShapeNet/4f52256337d0d4a4c6e7cc40a98a4ef5,vase/ModelNet/vase_0081,False,jar,vase,0,"['the', 'lips', 'are', 'straight']",4,the lips are straight,train,test,train,test,"[1, 10, 1703, 16, 114, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,the target fas a less big bottom,3N2BF7Y2VSNI3D3XSZ5BUOU16RRMH8,69,f8e8740b44ca276abb6f5a9e4b6b8b34,vase,ShapeNet,c42115bcac36e3569f8c3d2002c77ddb,vase,ShapeNet,False,vase/ShapeNet/c42115bcac36e3569f8c3d2002c77ddb,vase/ShapeNet/f8e8740b44ca276abb6f5a9e4b6b8b34,False,jar,jar,2,"['the', 'target', 'fas', 'a', 'less', 'big', 'bottom']",7,the target fas a less big bottom,train,test,train,test,"[1, 10, 11, 3, 26, 229, 320, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the footprint takes up more space,3E13VNJ1NPOL3JSS5V4YA87D8TG1ID,54,ddad820c8cd5c1ee564eaedaeaa04f28,vase,ShapeNet,151a80ff1ad2fe11c8c4893204f16cf,vase,ShapeNet,False,vase/ShapeNet/151a80ff1ad2fe11c8c4893204f16cf,vase/ShapeNet/ddad820c8cd5c1ee564eaedaeaa04f28,False,jar,jar,2,"['the', 'footprint', 'takes', 'up', 'more', 'space']",6,the footprint takes up more space,train,test,train,test,"[1, 10, 1255, 1960, 269, 34, 744, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the broadest part is not on top,32Z9ZLUT1ND63GO95FKOMSJ61R3OHM,63,8da5db60ba2c5f9318694f1cc6fb1f8,vase,ShapeNet,353709f2c6862ac56bc258c0f0234be0,vase,ShapeNet,False,vase/ShapeNet/353709f2c6862ac56bc258c0f0234be0,vase/ShapeNet/8da5db60ba2c5f9318694f1cc6fb1f8,False,jar,jar,2,"['the', 'broadest', 'part', 'is', 'not', 'on', 'top']",7,the broadest part is not on top,train,test,train,test,"[1, 10, 3, 311, 7, 40, 20, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2117,the body of the target has more width,37XITHEISY2IJL59BFNR5WRVZMJCRB,45,1a9dade4e4a4c47589035c25f0dfeb63,vase,ShapeNet,889b2e6dc1b409cd5e29ce2c9d37b952,vase,ShapeNet,False,vase/ShapeNet/889b2e6dc1b409cd5e29ce2c9d37b952,vase/ShapeNet/1a9dade4e4a4c47589035c25f0dfeb63,False,jar,jar,2,"['the', 'body', 'of', 'the', 'target', 'has', 'more', 'width']",8,the body of the target has more width,train,test,train,test,"[1, 10, 45, 38, 10, 11, 24, 34, 358, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,it goes more high,3R9WASFE219YOOBACY75Z5EX5GZFZN,297,vase_0381,vase,ModelNet,d090b33ac316a4b8bc7f58784fda27b5,vase,ShapeNet,False,vase/ShapeNet/d090b33ac316a4b8bc7f58784fda27b5,vase/ModelNet/vase_0381,True,jar,vase,0,"['it', 'goes', 'more', 'high']",4,it goes more high,train,test,train,test,"[1, 23, 394, 34, 49, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_865,target has very thin long neck tiny mouth,317HQ483I9LOHQZHAI2W7FKGBU7INO,640,1d4a469bdb53d3f77a3f900e0a6f2d83,vase,ShapeNet,1a8f9295b44b48895e8c5748ca5ef3ea,vase,ShapeNet,False,vase/ShapeNet/1a8f9295b44b48895e8c5748ca5ef3ea,vase/ShapeNet/1d4a469bdb53d3f77a3f900e0a6f2d83,True,jar,jar,1,"['target', 'has', 'very', 'thin', 'long', 'neck', 'tiny', 'mouth']",8,target has very thin long neck tiny mouth,train,test,train,test,"[1, 11, 24, 62, 60, 32, 509, 836, 175, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the widest part is not as high,3E47SOBEYSP5QM2QLSTIR4Q4CQ0ICD,64,vase_0073,vase,ModelNet,vase_0206,vase,ModelNet,False,vase/ModelNet/vase_0206,vase/ModelNet/vase_0073,False,vase,vase,3,"['the', 'widest', 'part', 'is', 'not', 'as', 'high']",7,the widest part is not as high,train,test,train,test,"[1, 10, 3, 311, 7, 40, 52, 49, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2122,has a little lip,3IAS3U3I0H9I5WWIIPCVT4D559NB28,59,afeb60dda62138a04013b7b0fb1ceaff,vase,ShapeNet,6c47d6e5ee3f6a5da8f6851a5d3f13b6,vase,ShapeNet,False,vase/ShapeNet/6c47d6e5ee3f6a5da8f6851a5d3f13b6,vase/ShapeNet/afeb60dda62138a04013b7b0fb1ceaff,True,jar,jar,3,"['has', 'a', 'little', 'lip']",4,has a little lip,train,test,train,test,"[1, 24, 26, 907, 125, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_433,the foot is not curved,3WLEIWSYHQASW9Z4IHMRFFG30MY2HL,690,7797bf6a6f3f4a809e9e01b160c24e12,vase,ShapeNet,912c3e1cf2ef3b9ea7d0cc9b15400f65,vase,ShapeNet,False,vase/ShapeNet/912c3e1cf2ef3b9ea7d0cc9b15400f65,vase/ShapeNet/7797bf6a6f3f4a809e9e01b160c24e12,True,jar,jar,2,"['the', 'foot', 'is', 'not', 'curved']",5,the foot is not curved,train,test,train,test,"[1, 10, 1251, 7, 40, 51, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
