workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_549,the seat is more condensed,34S9DKFK75IA7QEME0OZT3E48CLNYK,123,10c08a28cae054e53a762233fffc49ea,chair,ShapeNet,2d08a64e4a257e007135fc51795b4038,chair,ShapeNet,False,chair/ShapeNet/2d08a64e4a257e007135fc51795b4038,chair/ShapeNet/10c08a28cae054e53a762233fffc49ea,True,chair,chair,1,"['the', 'seat', 'is', 'more', 'condensed']",5,the seat is more condensed,train,test,train,test,"[1, 10, 2255, 7, 34, 2468, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2068,the legs of the chair are more girthy and wheels more substantial,30JNVC0ORBD9OS1PKSCSBXE57HCQHQ,158,c585ee093bfd52af6512b7b24f3d84,chair,ShapeNet,1022fe7dd03f6a4d4d5ad9f13ac9f4e7,chair,ShapeNet,False,chair/ShapeNet/1022fe7dd03f6a4d4d5ad9f13ac9f4e7,chair/ShapeNet/c585ee093bfd52af6512b7b24f3d84,True,chair,chair,3,"['the', 'legs', 'of', 'the', 'chair', 'are', 'more', 'girthy', 'and', 'wheels', 'more', 'substantial']",12,the legs of the chair are more girthy and wheels more substantial,train,test,train,test,"[1, 10, 547, 38, 10, 2251, 16, 34, 3, 47, 1013, 34, 446, 2, 0, 0, 0, 0, 0, 0]"
user_428,the legs are less sizeable,3IHR8NYAM9UUC4CF58DKH3FSDQ14PQ,235,124ef426dfa0aa38ff6069724068a578,chair,ShapeNet,6ea2aabe267b519537b2bb75885cfc44,chair,ShapeNet,False,chair/ShapeNet/6ea2aabe267b519537b2bb75885cfc44,chair/ShapeNet/124ef426dfa0aa38ff6069724068a578,True,chair,chair,2,"['the', 'legs', 'are', 'less', 'sizeable']",5,the legs are less sizeable,train,test,train,test,"[1, 10, 547, 16, 229, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1607,the legs are slight in shape,3KGTPGBS6ZEX1V5OIGTQYU5T1US2UL,132,d01321ae63ae0b40ad1f278e1513f3b7,chair,ShapeNet,d80ea722df716bd0b15194162f658e87,chair,ShapeNet,False,chair/ShapeNet/d80ea722df716bd0b15194162f658e87,chair/ShapeNet/d01321ae63ae0b40ad1f278e1513f3b7,True,chair,chair,3,"['the', 'legs', 'are', 'slight', 'in', 'shape']",6,the legs are slight in shape,train,test,train,test,"[1, 10, 547, 16, 160, 90, 93, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_947,its back rest and seat are made from slim bent slats,38JBBYETQQ3QFDNPWUX9NRGOZMEE40,76,a9ee7abdaba4ed6c14817c31e6492a06,chair,ShapeNet,b58a0307a86959bd564f6f5de611dfed,chair,ShapeNet,False,chair/ShapeNet/b58a0307a86959bd564f6f5de611dfed,chair/ShapeNet/a9ee7abdaba4ed6c14817c31e6492a06,False,chair,chair,3,"['its', 'back', 'rest', 'and', 'seat', 'are', 'made', 'from', 'slim', 'bent', 'slats']",11,its back rest and seat are made from slim bent slats,train,test,train,test,"[1, 5, 183, 1154, 47, 2255, 16, 916, 113, 829, 173, 1348, 2, 0, 0, 0, 0, 0, 0, 0]"
user_326,the seat is very extensive but skinny,38JBBYETQQ3QFDNPWUX9NRGOZCQ4EI,100,chair_0330,chair,ModelNet,78f722590b0885a61efc6aa41666df08,chair,ShapeNet,False,chair/ShapeNet/78f722590b0885a61efc6aa41666df08,chair/ModelNet/chair_0330,True,chair,chair,2,"['the', 'seat', 'is', 'very', 'extensive', 'but', 'skinny']",7,the seat is very extensive but skinny,train,test,train,test,"[1, 10, 2255, 7, 62, 4601, 207, 282, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,the back of the target towers more,3UOUJI6MTF7Y2B8L65EJOKZPE70XU6,78,577d1c446658fdc7ebc935c637c3e3a0,chair,ShapeNet,720fd0a6c8cf65e772ee08e78374a212,chair,ShapeNet,False,chair/ShapeNet/720fd0a6c8cf65e772ee08e78374a212,chair/ShapeNet/577d1c446658fdc7ebc935c637c3e3a0,False,chair,chair,1,"['the', 'back', 'of', 'the', 'target', 'towers', 'more']",7,the back of the target towers more,train,test,train,test,"[1, 10, 183, 38, 10, 11, 2076, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1529,the legs are less high,3TPWUS5F8BUNRHMVA9XXSVZCY6KCWH,85,chair_0097,chair,ModelNet,2b7335c083d04862ca9c7c1ff5a28926,chair,ShapeNet,False,chair/ShapeNet/2b7335c083d04862ca9c7c1ff5a28926,chair/ModelNet/chair_0097,False,chair,chair,0,"['the', 'legs', 'are', 'less', 'high']",5,the legs are less high,train,test,train,test,"[1, 10, 547, 16, 229, 49, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1585,the arms of the chair are less extensive and more thick,336YQZE83X76NKJ2RX425RRB8G85ML,289,6b95ac6189a395d3fa8cf35dd917fad6,chair,ShapeNet,551be68d484c8910f91663a74ccd2338,chair,ShapeNet,False,chair/ShapeNet/551be68d484c8910f91663a74ccd2338,chair/ShapeNet/6b95ac6189a395d3fa8cf35dd917fad6,True,chair,chair,0,"['the', 'arms', 'of', 'the', 'chair', 'are', 'less', 'extensive', 'and', 'more', 'thick']",11,the arms of the chair are less extensive and more thick,train,test,train,test,"[1, 10, 2232, 38, 10, 2251, 16, 229, 4601, 47, 34, 54, 2, 0, 0, 0, 0, 0, 0, 0]"
user_618,the legs of the chair are much more svelte,3ZOTGHDK5K4VTP2PG9WNQ6Q8HZ3OSR,227,7275cb0572b1c0042725cbc5586c6d7b,chair,ShapeNet,5c70ab37293d81911b17743c18fb63dc,chair,ShapeNet,False,chair/ShapeNet/5c70ab37293d81911b17743c18fb63dc,chair/ShapeNet/7275cb0572b1c0042725cbc5586c6d7b,True,chair,chair,2,"['the', 'legs', 'of', 'the', 'chair', 'are', 'much', 'more', 'svelte']",9,the legs of the chair are much more svelte,train,test,train,test,"[1, 10, 547, 38, 10, 2251, 16, 59, 34, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
