workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1900,it has a convex bottom,3SKRO2GZ73KC9EIG5YPANOMPRX0K1R,52,c02a408b63a91d294cccbece4754c7cf,lamp,ShapeNet,50cade4e6f714f2fc72e6d708486db91,lamp,ShapeNet,False,lamp/ShapeNet/50cade4e6f714f2fc72e6d708486db91,lamp/ShapeNet/c02a408b63a91d294cccbece4754c7cf,False,lamp,lamp,3,"['it', 'has', 'a', 'convex', 'bottom']",5,it has a convex bottom,train,test,train,test,"[1, 23, 24, 26, 1403, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_230,there is no bottom,3AZHRG4CU6D66RPRO9TBSXMDBIM035,127,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,c99eaaeb9b941af62ebeb1e6a8111f53,lamp,ShapeNet,False,lamp/ShapeNet/c99eaaeb9b941af62ebeb1e6a8111f53,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,False,lamp,lamp,3,"['there', 'is', 'no', 'bottom']",4,there is no bottom,train,test,train,test,"[1, 15, 7, 123, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1619,the target has a convex base,37Z929RLGB1B6H7XCQIMKGWV6R9ST0,167,76eb7436c40e083384d184bdc625781a,lamp,ShapeNet,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,False,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,lamp/ShapeNet/76eb7436c40e083384d184bdc625781a,False,lamp,lamp,1,"['the', 'target', 'has', 'a', 'convex', 'base']",6,the target has a convex base,test,test,test,test,"[1, 10, 11, 24, 26, 1403, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_471,the shade is hollow,3I7DHKZYGPT0HARL5A0PA171VFX5FX,88,d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,d12558a4b1dec5ab37b2bb75885cfc44,lamp,ShapeNet,True,lamp/ShapeNet/d12558a4b1dec5ab37b2bb75885cfc44,lamp/ShapeNet/d87a2d766579f15e38b27a25d1336579,True,lamp,lamp,0,"['the', 'shade', 'is', 'hollow']",4,the shade is hollow,train,test,train,test,"[1, 10, 1873, 7, 1155, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,target has a flexible cord,3L2IS5HSFCBTQHUH4ZRAQI8QWTCUNN,36,4bd3f50f903cb1bffbaaaf5884f2c88f,lamp,ShapeNet,f29a94f969dd55ffc35131da26f8061a,lamp,ShapeNet,False,lamp/ShapeNet/f29a94f969dd55ffc35131da26f8061a,lamp/ShapeNet/4bd3f50f903cb1bffbaaaf5884f2c88f,False,lamp,lamp,0,"['target', 'has', 'a', 'flexible', 'cord']",5,target has a flexible cord,val,test,val,test,"[1, 11, 24, 26, 101, 429, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,target is lower,3NJM2BJS4YZX78PUYNJ201RFP86PC4,41,8006e3cb3ba934a05b977412e02c412c,lamp,ShapeNet,2f972bfe152e4c23f36ea1eb6542fe7e,lamp,ShapeNet,False,lamp/ShapeNet/2f972bfe152e4c23f36ea1eb6542fe7e,lamp/ShapeNet/8006e3cb3ba934a05b977412e02c412c,True,lamp,lamp,0,"['target', 'is', 'lower']",3,target is lower,train,test,train,test,"[1, 11, 7, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1810,the pole is connected to a chain connected to the base,3R08VXYT7EOHF0RZJSPMC97XHXO7W0,52,5383c9b60d5b66a2d22730b0728b2fc9,lamp,ShapeNet,33db0d4bf66731a7e7c7920f6a65a54d,lamp,ShapeNet,False,lamp/ShapeNet/33db0d4bf66731a7e7c7920f6a65a54d,lamp/ShapeNet/5383c9b60d5b66a2d22730b0728b2fc9,False,lamp,lamp,3,"['the', 'pole', 'is', 'connected', 'to', 'a', 'chain', 'connected', 'to', 'the', 'base']",11,the pole is connected to a chain connected to the base,train,test,train,test,"[1, 10, 1299, 7, 127, 58, 26, 2194, 127, 58, 10, 103, 2, 0, 0, 0, 0, 0, 0, 0]"
user_1106,The cables inside the shade curve inward,3TPWUS5F8BUNRHMVA9XXSVZBI2DWC4,331,cf9987efe529a5c538b27a25d1336579,lamp,ShapeNet,d36d4552fe1290ee90c2e24416edfe5b,lamp,ShapeNet,False,lamp/ShapeNet/d36d4552fe1290ee90c2e24416edfe5b,lamp/ShapeNet/cf9987efe529a5c538b27a25d1336579,True,lamp,lamp,3,"['The', 'cables', 'inside', 'the', 'shade', 'curve', 'inward']",7,The cables inside the shade curve inward,val,test,val,test,"[1, 3, 3786, 292, 10, 1873, 43, 1476, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_782,Target has a fatter pole,3HOSI13XH1HYN3SITANIKDS8WQZDD0,209,ed57181b9e7644a3f51f77a6d7299806,lamp,ShapeNet,39439a41656f7d50d42b9650f19dd425,lamp,ShapeNet,False,lamp/ShapeNet/39439a41656f7d50d42b9650f19dd425,lamp/ShapeNet/ed57181b9e7644a3f51f77a6d7299806,True,lamp,lamp,1,"['Target', 'has', 'a', 'fatter', 'pole']",5,Target has a fatter pole,train,test,train,test,"[1, 3, 24, 26, 3, 1299, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_400,it has 5 electrical strings,39L1G8WVWSK6DGA9KSXB625OMS831Z,104,1a48f00729981afbc01ff6a6aade8d2,lamp,ShapeNet,e959384247c0dfbe1e18a354bfd56290,lamp,ShapeNet,False,lamp/ShapeNet/e959384247c0dfbe1e18a354bfd56290,lamp/ShapeNet/1a48f00729981afbc01ff6a6aade8d2,False,lamp,lamp,2,"['it', 'has', '5', 'electrical', 'strings']",5,it has 5 electrical strings,train,test,train,test,"[1, 23, 24, 3, 3966, 2637, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
