workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_266,It looks more abstract.,38F71OA9GVPYPHCRX9HBR3IOQCFMFB,59,60abc8a27bb77020535deb3b0c692a2a,vase,ShapeNet,ad64ff0a281c92b7eb895521e4d63cbe,vase,ShapeNet,False,vase/ShapeNet/ad64ff0a281c92b7eb895521e4d63cbe,vase/ShapeNet/60abc8a27bb77020535deb3b0c692a2a,False,jar,jar,0,"['it', 'looks', 'more', 'abstract']",4,it looks more abstract,train,test,train,test,"[1, 23, 33, 34, 488, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1641,The body is a different shape and wider overall.,3QUO65DNQWHB82UT5ERN578WVZ0OUI,85,275cc21fad6aa1b6bfa78a7d067c469c,vase,ShapeNet,vase_0077,vase,ModelNet,False,vase/ModelNet/vase_0077,vase/ShapeNet/275cc21fad6aa1b6bfa78a7d067c469c,True,vase,jar,3,"['the', 'body', 'is', 'a', 'different', 'shape', 'and', 'wide', '-er', 'overall']",10,the body is a different shape and wide -er overall,train,test,train,test,"[1, 10, 45, 7, 26, 306, 93, 47, 83, 9, 201, 2, 0, 0, 0, 0, 0, 0]"
user_77,The lip curls out more,3N1FSUEFL7TLN79P0ZMPH9Y3S8TD4B,104,vase_0235,vase,ModelNet,vase_0188,vase,ModelNet,False,vase/ModelNet/vase_0188,vase/ModelNet/vase_0235,True,vase,vase,2,"['the', 'lip', 'curls', 'out', 'more']",5,the lip curls out more,test,test,test,test,"[1, 10, 125, 376, 89, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,The body is less spherical.,3UNH76FOCUY4P8TM2Z9ZGOP4WN6YML,51,vase_0351,vase,ModelNet,vase_0314,vase,ModelNet,False,vase/ModelNet/vase_0314,vase/ModelNet/vase_0351,True,vase,vase,3,"['the', 'body', 'is', 'less', 'spherical']",5,the body is less spherical,train,test,train,test,"[1, 10, 45, 7, 229, 293, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1806,the neck is shorter,39GAF6DQWTTQPPCS423HPXX7GVSV1K,537,vase_0153,vase,ModelNet,vase_0411,vase,ModelNet,False,vase/ModelNet/vase_0411,vase/ModelNet/vase_0153,True,vase,vase,0,"['the', 'neck', 'is', 'short', '-er']",5,the neck is short -er,train,test,train,test,"[1, 10, 509, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,The lip is not jagged.,3W8CV64QJ4S3WTK33Q16P2OH6SJH93,67,8fb8d64e04e0be16a383bc0337fb2972,vase,ShapeNet,777bbb60f4596a5155f46d55537192b6,vase,ShapeNet,False,vase/ShapeNet/777bbb60f4596a5155f46d55537192b6,vase/ShapeNet/8fb8d64e04e0be16a383bc0337fb2972,False,jar,jar,0,"['the', 'lip', 'is', 'not', 'jagged']",5,the lip is not jagged,train,test,train,test,"[1, 10, 125, 7, 40, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_433,The body is wider on the top half of it,3HVVDCPGTGL823J6BWAB22KWQVIYT2,88,vase_0101,vase,ModelNet,32dc55c3e945384dbc5e533ab711fd24,vase,ShapeNet,False,vase/ShapeNet/32dc55c3e945384dbc5e533ab711fd24,vase/ModelNet/vase_0101,True,jar,vase,0,"['the', 'body', 'is', 'wide', '-er', 'on', 'the', 'top', 'half', 'of', 'it']",11,the body is wide -er on the top half of it,train,test,train,test,"[1, 10, 45, 7, 83, 9, 20, 10, 99, 158, 38, 23, 2, 0, 0, 0, 0, 0]"
user_230,The target's foot is rounded.,3UWN2HHPU0YDB42DFUWABHQ3KS1NSD,178,vase_0153,vase,ModelNet,vase_0411,vase,ModelNet,False,vase/ModelNet/vase_0411,vase/ModelNet/vase_0153,True,vase,vase,2,"['the', 'target', ""'s"", 'foot', 'is', 'rounded']",6,the target 's foot is rounded,train,test,train,test,"[1, 10, 11, 12, 1251, 7, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,The target's body is not as deep.,39LOEL67OUYOOGUUJD6QLCSW3HU839,124,81cc70eb5ec9e3c75706d1c54190f27a,vase,ShapeNet,a886fcd1a2b625208d1dabf86742ec3c,vase,ShapeNet,False,vase/ShapeNet/a886fcd1a2b625208d1dabf86742ec3c,vase/ShapeNet/81cc70eb5ec9e3c75706d1c54190f27a,False,jar,jar,3,"['the', 'target', ""'s"", 'body', 'is', 'not', 'as', 'deep']",8,the target 's body is not as deep,train,test,train,test,"[1, 10, 11, 12, 45, 7, 40, 52, 573, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1602,It has a wider body.,3KRVW3HTZPE7TMHD3THAY213F23SMU,56,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0058,vase,ModelNet,False,vase/ModelNet/vase_0058,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,False,vase,jar,1,"['it', 'has', 'a', 'wide', '-er', 'body']",6,it has a wide -er body,train,test,train,test,"[1, 23, 24, 26, 83, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
