workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1900,it has a rounded bottom,3SKRO2GZ73KC9EIG5YPANOMPRX0K1R,52,c02a408b63a91d294cccbece4754c7cf,lamp,ShapeNet,50cade4e6f714f2fc72e6d708486db91,lamp,ShapeNet,False,lamp/ShapeNet/50cade4e6f714f2fc72e6d708486db91,lamp/ShapeNet/c02a408b63a91d294cccbece4754c7cf,False,lamp,lamp,3,"['it', 'has', 'a', 'rounded', 'bottom']",5,it has a rounded bottom,train,test,train,test,"[1, 23, 24, 26, 48, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_230,there is no base.,3AZHRG4CU6D66RPRO9TBSXMDBIM035,127,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,c99eaaeb9b941af62ebeb1e6a8111f53,lamp,ShapeNet,False,lamp/ShapeNet/c99eaaeb9b941af62ebeb1e6a8111f53,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,False,lamp,lamp,3,"['there', 'is', 'no', 'base']",4,there is no base,train,test,train,test,"[1, 15, 7, 123, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1619,The target has a spherical base.,37Z929RLGB1B6H7XCQIMKGWV6R9ST0,167,76eb7436c40e083384d184bdc625781a,lamp,ShapeNet,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,False,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,lamp/ShapeNet/76eb7436c40e083384d184bdc625781a,False,lamp,lamp,1,"['the', 'target', 'has', 'a', 'spherical', 'base']",6,the target has a spherical base,test,test,test,test,"[1, 10, 11, 24, 26, 293, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_471,the shade is not solid,3I7DHKZYGPT0HARL5A0PA171VFX5FX,88,d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,d12558a4b1dec5ab37b2bb75885cfc44,lamp,ShapeNet,True,lamp/ShapeNet/d12558a4b1dec5ab37b2bb75885cfc44,lamp/ShapeNet/d87a2d766579f15e38b27a25d1336579,True,lamp,lamp,0,"['the', 'shade', 'is', 'not', 'solid']",5,the shade is not solid,train,test,train,test,"[1, 10, 1873, 7, 40, 291, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,target has a more bendy cord,3L2IS5HSFCBTQHUH4ZRAQI8QWTCUNN,36,4bd3f50f903cb1bffbaaaf5884f2c88f,lamp,ShapeNet,f29a94f969dd55ffc35131da26f8061a,lamp,ShapeNet,False,lamp/ShapeNet/f29a94f969dd55ffc35131da26f8061a,lamp/ShapeNet/4bd3f50f903cb1bffbaaaf5884f2c88f,False,lamp,lamp,0,"['target', 'has', 'a', 'more', 'bendy', 'cord']",6,target has a more bendy cord,val,test,val,test,"[1, 11, 24, 26, 34, 3054, 429, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,target is shorter,3NJM2BJS4YZX78PUYNJ201RFP86PC4,41,8006e3cb3ba934a05b977412e02c412c,lamp,ShapeNet,2f972bfe152e4c23f36ea1eb6542fe7e,lamp,ShapeNet,False,lamp/ShapeNet/2f972bfe152e4c23f36ea1eb6542fe7e,lamp/ShapeNet/8006e3cb3ba934a05b977412e02c412c,True,lamp,lamp,0,"['target', 'is', 'short', '-er']",4,target is short -er,train,test,train,test,"[1, 11, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1810,The pole is attached to a chain connecting it to the base,3R08VXYT7EOHF0RZJSPMC97XHXO7W0,52,5383c9b60d5b66a2d22730b0728b2fc9,lamp,ShapeNet,33db0d4bf66731a7e7c7920f6a65a54d,lamp,ShapeNet,False,lamp/ShapeNet/33db0d4bf66731a7e7c7920f6a65a54d,lamp/ShapeNet/5383c9b60d5b66a2d22730b0728b2fc9,False,lamp,lamp,3,"['the', 'pole', 'is', 'attached', 'to', 'a', 'chain', 'connecting', 'it', 'to', 'the', 'base']",12,the pole is attached to a chain connecting it to the base,train,test,train,test,"[1, 10, 1299, 7, 115, 58, 26, 2194, 1322, 23, 58, 10, 103, 2, 0, 0, 0, 0]"
user_1106,The cables inside the shade bend into it,3TPWUS5F8BUNRHMVA9XXSVZBI2DWC4,331,cf9987efe529a5c538b27a25d1336579,lamp,ShapeNet,d36d4552fe1290ee90c2e24416edfe5b,lamp,ShapeNet,False,lamp/ShapeNet/d36d4552fe1290ee90c2e24416edfe5b,lamp/ShapeNet/cf9987efe529a5c538b27a25d1336579,True,lamp,lamp,3,"['the', 'cables', 'inside', 'the', 'shade', 'bend', 'into', 'it']",8,the cables inside the shade bend into it,val,test,val,test,"[1, 10, 3786, 292, 10, 1873, 190, 148, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_782,Target has a thicker pole.,3HOSI13XH1HYN3SITANIKDS8WQZDD0,209,ed57181b9e7644a3f51f77a6d7299806,lamp,ShapeNet,39439a41656f7d50d42b9650f19dd425,lamp,ShapeNet,False,lamp/ShapeNet/39439a41656f7d50d42b9650f19dd425,lamp/ShapeNet/ed57181b9e7644a3f51f77a6d7299806,True,lamp,lamp,1,"['target', 'has', 'a', 'thick', '-er', 'pole']",6,target has a thick -er pole,train,test,train,test,"[1, 11, 24, 26, 54, 9, 1299, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_400,it has five cords,39L1G8WVWSK6DGA9KSXB625OMS831Z,104,1a48f00729981afbc01ff6a6aade8d2,lamp,ShapeNet,e959384247c0dfbe1e18a354bfd56290,lamp,ShapeNet,False,lamp/ShapeNet/e959384247c0dfbe1e18a354bfd56290,lamp/ShapeNet/1a48f00729981afbc01ff6a6aade8d2,False,lamp,lamp,2,"['it', 'has', 'five', 'cords']",4,it has five cords,train,test,train,test,"[1, 23, 24, 953, 4297, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
