workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_17,The target has no shade,30BUDKLTXFO8BWRPAZGJSJM2P485ET,31,39fcaf51940333b46ab88e9b8b75d248,lamp,ShapeNet,36943f6afca6cbf518134b529d13e79a,lamp,ShapeNet,FALSE,lamp/ShapeNet/36943f6afca6cbf518134b529d13e79a,lamp/ShapeNet/39fcaf51940333b46ab88e9b8b75d248,FALSE,lamp,lamp,0,"['the', 'target', 'has', 'no', 'shade']",5,the target has no shade,train,test,train,test,"[1, 10, 11, 24, 123, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1205,target has no lamp shade,3EG49X351W5D00IKANGG8EL8VL76XK,56,b5a223ea93f39c2c961b70a6f96df2a4,lamp,ShapeNet,908bfd876def9e43714531f0291497fd,lamp,ShapeNet,FALSE,lamp/ShapeNet/908bfd876def9e43714531f0291497fd,lamp/ShapeNet/b5a223ea93f39c2c961b70a6f96df2a4,FALSE,lamp,lamp,0,"['target', 'has', 'no', 'lamp', 'shade']",5,target has no lamp shade,train,test,train,test,"[1, 11, 24, 123, 295, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_782,Target does not have an empire shade.,3WOKGM4L739VSGID77D3G0KO6EF0O7,55,b5a223ea93f39c2c961b70a6f96df2a4,lamp,ShapeNet,908bfd876def9e43714531f0291497fd,lamp,ShapeNet,FALSE,lamp/ShapeNet/908bfd876def9e43714531f0291497fd,lamp/ShapeNet/b5a223ea93f39c2c961b70a6f96df2a4,FALSE,lamp,lamp,0,"['target', 'does', 'not', 'have', 'an', 'empire', 'shade']",7,target does not have an empire shade,train,test,train,test,"[1, 11, 39, 40, 84, 72, 4292, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_986,no shade,3AMYWKA6YDFQ6R4S9WTKP1UFJCG6OJ,108,59ca30266fb153ba50f93b609ce4feaf,lamp,ShapeNet,c2f6c7b7b39fb06fbd4bf7024dfa167d,lamp,ShapeNet,FALSE,lamp/ShapeNet/c2f6c7b7b39fb06fbd4bf7024dfa167d,lamp/ShapeNet/59ca30266fb153ba50f93b609ce4feaf,FALSE,lamp,lamp,1,"['no', 'shade']",2,no shade,train,test,train,test,"[1, 123, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1371,It has no shade,33FOTY3KEOEUQG6SDL8CZ59HMONC12,79,bb53a3c6ac9cbd386fa63795f94c4d8c,lamp,ShapeNet,d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,FALSE,lamp/ShapeNet/d87a2d766579f15e38b27a25d1336579,lamp/ShapeNet/bb53a3c6ac9cbd386fa63795f94c4d8c,FALSE,lamp,lamp,1,"['it', 'has', 'no', 'shade']",4,it has no shade,test,test,test,test,"[1, 23, 24, 123, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_427,"it has no shades,",3PJ71Z61R6VSSIZP11YLXF89G2U19I,64,4c266f2b866c59e761fef32872c6fa53,lamp,ShapeNet,a711c673d5b6a4b350075206bc274050,lamp,ShapeNet,FALSE,lamp/ShapeNet/a711c673d5b6a4b350075206bc274050,lamp/ShapeNet/4c266f2b866c59e761fef32872c6fa53,FALSE,lamp,lamp,1,"['it', 'has', 'no', 'shades']",4,it has no shades,train,test,train,test,"[1, 23, 24, 123, 1847, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1154,The bulbs should not be covered by shades.,3WOKGM4L739VSGID77D3G0KO69X0OF,113,b4af7e9a7338a9a3225afab722d9fd2,lamp,ShapeNet,71090d1b424b4b4b29eb9d04ea723179,lamp,ShapeNet,FALSE,lamp/ShapeNet/71090d1b424b4b4b29eb9d04ea723179,lamp/ShapeNet/b4af7e9a7338a9a3225afab722d9fd2,TRUE,lamp,lamp,1,"['the', 'bulbs', 'should', 'not', 'be', 'covered', 'by', 'shades']",8,the bulbs should not be covered by shades,train,test,train,test,"[1, 10, 403, 2729, 40, 204, 865, 248, 1847, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a shade.,3U5JL4WY5M2ZLDE6RZN1BG1UZP54XR,77,d385523f0cd93d48d6084fb53091249,lamp,ShapeNet,a37f1bd2732ce11981d841466b314f95,lamp,ShapeNet,FALSE,lamp/ShapeNet/a37f1bd2732ce11981d841466b314f95,lamp/ShapeNet/d385523f0cd93d48d6084fb53091249,TRUE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'shade']",6,it does not have a shade,train,test,train,test,"[1, 23, 39, 40, 84, 26, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1303,the  target has  no  shade on  the top,3UNH76FOCUY4P8TM2Z9ZGOP3NMFMY5,112,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,c99eaaeb9b941af62ebeb1e6a8111f53,lamp,ShapeNet,FALSE,lamp/ShapeNet/c99eaaeb9b941af62ebeb1e6a8111f53,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,FALSE,lamp,lamp,2,"['the', 'target', 'has', 'no', 'shade', 'on', 'the', 'top']",8,the target has no shade on the top,train,test,train,test,"[1, 10, 11, 24, 123, 1873, 20, 10, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_239,has no lamp shade,3ATTHHXXWCHTTKDLCOP55HBD48YXIT,52,4c266f2b866c59e761fef32872c6fa53,lamp,ShapeNet,5614d1c24806ce0a8d1fe8cdc415f4c5,lamp,ShapeNet,FALSE,lamp/ShapeNet/5614d1c24806ce0a8d1fe8cdc415f4c5,lamp/ShapeNet/4c266f2b866c59e761fef32872c6fa53,FALSE,lamp,lamp,2,"['has', 'no', 'lamp', 'shade']",4,has no lamp shade,train,test,train,test,"[1, 24, 123, 295, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_400,it has no lampshade fitting,3RJSC4XJ12N9K6CV2SH47UKXPHC050,65,eb8466da51199e0ecc4c445068949125,lamp,ShapeNet,45fcbb7812f0c9e729426a0f57e4d15e,lamp,ShapeNet,FALSE,lamp/ShapeNet/45fcbb7812f0c9e729426a0f57e4d15e,lamp/ShapeNet/eb8466da51199e0ecc4c445068949125,TRUE,lamp,lamp,3,"['it', 'has', 'no', 'lampshade', 'fitting']",5,it has no lampshade fitting,test,test,test,test,"[1, 23, 24, 123, 3402, 4385, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_845,there is no shade holder,3RKNTXVS3ORNP06DGPVNR8QWY6PA4Q,284,eb8466da51199e0ecc4c445068949125,lamp,ShapeNet,26f2f40fa7fc0c5538b28f94c165f833,lamp,ShapeNet,FALSE,lamp/ShapeNet/26f2f40fa7fc0c5538b28f94c165f833,lamp/ShapeNet/eb8466da51199e0ecc4c445068949125,FALSE,lamp,lamp,3,"['there', 'is', 'no', 'shade', 'holder']",5,there is no shade holder,train,test,train,test,"[1, 15, 7, 123, 1873, 2025, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_952,it does NOT have a rectangular shaped shade.,3NG53N1RLXCVV5ZHHB3XYFVWZFJP8S,201,802c287eacfbcba9564b8e0b814c602e,lamp,ShapeNet,16efeb266e249dd63a52a79d6f5aab84,lamp,ShapeNet,FALSE,lamp/ShapeNet/16efeb266e249dd63a52a79d6f5aab84,lamp/ShapeNet/802c287eacfbcba9564b8e0b814c602e,TRUE,lamp,lamp,3,"['it', 'does', 'not', 'have', 'a', 'rectangular', 'shaped', 'shade']",8,it does not have a rectangular shaped shade,val,test,val,test,"[1, 23, 39, 40, 84, 26, 128, 14, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_400,it has no shade,3FE2ERCCZZ1YGXMXOSSTV1LWEKVOP2,25,ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,8f2eec27fa65b6b7ef76898f881b76a,lamp,ShapeNet,FALSE,lamp/ShapeNet/8f2eec27fa65b6b7ef76898f881b76a,lamp/ShapeNet/ec782fd2f4825158f24dd57a3f1f3b51,FALSE,lamp,lamp,3,"['it', 'has', 'no', 'shade']",4,it has no shade,train,test,train,test,"[1, 23, 24, 123, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2122,Has no actual  shade,3UXUOQ9OKGQK8NOWINTUUKA6PDA7AC,160,c9a464649fb52e99d5cb6d178687b980,lamp,ShapeNet,96e1ba69697ade7682db9fca4b68095,lamp,ShapeNet,FALSE,lamp/ShapeNet/96e1ba69697ade7682db9fca4b68095,lamp/ShapeNet/c9a464649fb52e99d5cb6d178687b980,TRUE,lamp,lamp,3,"['has', 'no', 'actual', 'shade']",4,has no actual shade,train,test,train,test,"[1, 24, 123, 1312, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
