workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_964,Target lamp has a rectangular boxy top,3F0BG9B9MRGL45MZYT7AX6SEYLH7YW,90,noisy_pc_e13a855926f25ffc5285aeabe3f6e218_sigma_0.05,lamp,ShapeNet,53846d2802f58f97c066b9622c005c53,lamp,ShapeNet,False,lamp/ShapeNet/53846d2802f58f97c066b9622c005c53,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_e13a855926f25ffc5285aeabe3f6e218_sigma_0.05.npz,False,lamp,lamp,0,"['target', 'lamp', 'has', 'a', 'rectangular', 'boxy', 'top']",7,target lamp has a rectangular boxy top,train,test,train,test,"[1, 11, 295, 24, 26, 128, 46, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1696,the shade is bulb shaped,3NXNZ5RS1CQ634ERQHFUYPZMJP8791,1334,noisy_pc_dccb4da9805924c23466f97f37dccbde_sigma_0.05,lamp,ShapeNet,7fc85bf0b0989f864f3443b22038d340,lamp,ShapeNet,False,lamp/ShapeNet/7fc85bf0b0989f864f3443b22038d340,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_dccb4da9805924c23466f97f37dccbde_sigma_0.05.npz,True,lamp,lamp,0,"['the', 'shade', 'is', 'bulb', 'shaped']",5,the shade is bulb shaped,train,test,train,test,"[1, 10, 1873, 7, 591, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_725,The shade is a teardrop shape.,3BXQMRHWK1RN8Z9HSYCAD3JRXGXMU8,91,noisy_pc_d3a3d52234e722825208aab875b932bc_sigma_0.05,lamp,ShapeNet,763ceeaa4ce2ce1d6afaa22adc38077c,lamp,ShapeNet,False,lamp/ShapeNet/763ceeaa4ce2ce1d6afaa22adc38077c,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_d3a3d52234e722825208aab875b932bc_sigma_0.05.npz,True,lamp,lamp,0,"['the', 'shade', 'is', 'a', 'teardrop', 'shape']",6,the shade is a teardrop shape,test,test,test,test,"[1, 10, 1873, 7, 26, 852, 93, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1106,The pole is shorter,35BLDD71I8QNKLX0CDC9HRHIK81VZQ,178,noisy_pc_8064580d3a225366ecbab50f1720e223_sigma_0.05,lamp,ShapeNet,1ac102f4a452771521e935c3c465f9f,lamp,ShapeNet,False,lamp/ShapeNet/1ac102f4a452771521e935c3c465f9f,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_8064580d3a225366ecbab50f1720e223_sigma_0.05.npz,True,lamp,lamp,0,"['the', 'pole', 'is', 'short', '-er']",5,the pole is short -er,train,test,train,test,"[1, 10, 1299, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_959,the shade is flatter,3137ONMDKIY6RTG9RVZAWGDRFC2EGY,43,noisy_pc_60272eb623298fd190a9ce3e4b15521e_sigma_0.05,lamp,ShapeNet,6faffa042190494a3def89b32cef8e45,lamp,ShapeNet,False,lamp/ShapeNet/6faffa042190494a3def89b32cef8e45,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_60272eb623298fd190a9ce3e4b15521e_sigma_0.05.npz,False,lamp,lamp,0,"['the', 'shade', 'is', 'flat', '-er']",5,the shade is flat -er,train,test,train,test,"[1, 10, 1873, 7, 129, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_952,the shade is cone shaped.,3IFS6Q0HJKCLX3RMIEJI69ULPWNIS3,55,noisy_pc_e38e89e852fe924d957f81d76123f1a7_sigma_0.05,lamp,ShapeNet,20d36ce3148091c5764b5e62529f6d7e,lamp,ShapeNet,False,lamp/ShapeNet/20d36ce3148091c5764b5e62529f6d7e,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_e38e89e852fe924d957f81d76123f1a7_sigma_0.05.npz,False,lamp,lamp,0,"['the', 'shade', 'is', 'cone', 'shaped']",5,the shade is cone shaped,train,test,train,test,"[1, 10, 1873, 7, 143, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_964,Target is taller,3MYYFCXHJ50OZRJG2PNXNU102UK4G8,69,noisy_pc_ee9849dc8d93e16c118ddfdb81cc6068_sigma_0.05,lamp,ShapeNet,236e0f8f6e74578ccbc9e602dbf6a4a,lamp,ShapeNet,False,lamp/ShapeNet/236e0f8f6e74578ccbc9e602dbf6a4a,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_ee9849dc8d93e16c118ddfdb81cc6068_sigma_0.05.npz,False,lamp,lamp,0,"['target', 'is', 'tall', '-er']",4,target is tall -er,train,test,train,test,"[1, 11, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_765,It has a taller shade.,3D3VGR7TA28U6L9QIMCQCTN1QQCR3T,42,noisy_pc_e9a9f966236acafab48ae76bc6e76e1_sigma_0.05,lamp,ShapeNet,lamp_0089,lamp,ModelNet,False,lamp/ModelNet/lamp_0089,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_e9a9f966236acafab48ae76bc6e76e1_sigma_0.05.npz,False,lamp,lamp,0,"['it', 'has', 'a', 'tall', '-er', 'shade']",6,it has a tall -er shade,train,test,train,test,"[1, 23, 24, 26, 53, 9, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_704,It is less complicated.,3ZY8KE4ISLWE6TW9PHTWQY5FLYBVQL,121,noisy_pc_f64e567b44e550c0fcb8d8c6d4df8143_sigma_0.05,lamp,ShapeNet,df4e44114543e805fcb8d8c6d4df8143,lamp,ShapeNet,False,lamp/ShapeNet/df4e44114543e805fcb8d8c6d4df8143,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_f64e567b44e550c0fcb8d8c6d4df8143_sigma_0.05.npz,True,lamp,lamp,0,"['it', 'is', 'less', 'complicated']",4,it is less complicated,train,test,train,test,"[1, 23, 7, 229, 1104, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_65,It has a skinny shade,38BQUHLA9YTSVUPKWC01EXR2FWUOMM,75,noisy_pc_d05b908d82722b5ab15194162f658e87_sigma_0.05,lamp,ShapeNet,1e0f7ff92144792ac3ab13a0474803d5,lamp,ShapeNet,False,lamp/ShapeNet/1e0f7ff92144792ac3ab13a0474803d5,100pcPerClassOutput/lamp/sigma_0.05/noisy_pc_d05b908d82722b5ab15194162f658e87_sigma_0.05.npz,False,lamp,lamp,0,"['it', 'has', 'a', 'skinny', 'shade']",5,it has a skinny shade,train,test,train,test,"[1, 23, 24, 26, 282, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
