workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_531,The arms are curved upwards,3PDJHANYK79GEAI55JYU5SXFNJO6HL,329,noisy_pc_chair_0379_sigma_0.05,chair,ModelNet,66342d92d51f402d3f7e27638e63d848,chair,ShapeNet,False,chair/ShapeNet/66342d92d51f402d3f7e27638e63d848,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0379_sigma_0.05.npz,True,chair,chair,0,"['the', 'arms', 'are', 'curved', 'upwards']",5,the arms are curved upwards,val,test,val,test,"[1, 10, 2232, 16, 51, 209, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1349,The target is circular,3NC5L260MQFMPKX3APWOJ77SC21FOV,328,noisy_pc_2acb11399d4d6cc335836c728d324152_sigma_0.05,chair,ShapeNet,4b71f633ddb55c6e309160eb001312fe,chair,ShapeNet,False,chair/ShapeNet/4b71f633ddb55c6e309160eb001312fe,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_2acb11399d4d6cc335836c728d324152_sigma_0.05.npz,True,chair,chair,0,"['the', 'target', 'is', 'circular']",4,the target is circular,train,test,train,test,"[1, 10, 11, 7, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_688,the legs are thicker,3OLF68YTNBUXNG3206R6ICNO3ZJFAS,45,noisy_pc_chair_0595_sigma_0.05,chair,ModelNet,b5699ce2511433f3b28ede0f9f5a31e9,chair,ShapeNet,False,chair/ShapeNet/b5699ce2511433f3b28ede0f9f5a31e9,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0595_sigma_0.05.npz,True,chair,chair,0,"['the', 'legs', 'are', 'thick', '-er']",5,the legs are thick -er,train,test,train,test,"[1, 10, 547, 16, 54, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_591,There are no armrests,3OCHAWUVGQDKZF39CRAHIXQRC9VKXB,147,noisy_pc_47cd848a5584867b1e8791c225564ae0_sigma_0.05,chair,ShapeNet,e27cb29cc3df4d0330989b15eb158e03,chair,ShapeNet,False,chair/ShapeNet/e27cb29cc3df4d0330989b15eb158e03,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_47cd848a5584867b1e8791c225564ae0_sigma_0.05.npz,False,chair,chair,0,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1651,The back is wooden,34QN5IT0T1KS7OVX0QO7JEUP79E08P,43,noisy_pc_chair_0344_sigma_0.05,chair,ModelNet,eda92b7bd76d8bb0b083574fdbdf0a98,chair,ShapeNet,False,chair/ShapeNet/eda92b7bd76d8bb0b083574fdbdf0a98,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0344_sigma_0.05.npz,True,chair,chair,0,"['the', 'back', 'is', 'wooden']",4,the back is wooden,train,test,train,test,"[1, 10, 183, 7, 2180, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2026,Its arms are connected to the back and the seat,337RC3OW07V3FWGWXCL09C6LL0IVLG,437,noisy_pc_2ed3b981a9827fb0392642605da2a1e7_sigma_0.05,chair,ShapeNet,91b738d40201bf18a413908c0e169330,chair,ShapeNet,False,chair/ShapeNet/91b738d40201bf18a413908c0e169330,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_2ed3b981a9827fb0392642605da2a1e7_sigma_0.05.npz,True,chair,chair,0,"['its', 'arms', 'are', 'connected', 'to', 'the', 'back', 'and', 'the', 'seat']",10,its arms are connected to the back and the seat,train,test,train,test,"[1, 5, 2232, 16, 127, 58, 10, 183, 47, 10, 2255, 2, 0, 0, 0, 0, 0, 0]"
user_591,The backrest is much taller,30OG32W0SW4C1LXVEZC5M0MOQX4ENE,286,noisy_pc_chair_0813_sigma_0.05,chair,ModelNet,bdd57499bf64fab6bf80985a99195eb8,chair,ShapeNet,False,chair/ShapeNet/bdd57499bf64fab6bf80985a99195eb8,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0813_sigma_0.05.npz,False,chair,chair,0,"['the', 'backrest', 'is', 'much', 'tall', '-er']",6,the backrest is much tall -er,train,test,train,test,"[1, 10, 2261, 7, 59, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1347,The overall shape is more rectangular,3A1COHJ8NLO3IO1TYYVSP6T6TJG8HL,68,noisy_pc_chair_0756_sigma_0.05,chair,ModelNet,6a254cc3d81881c91a3b39b07e4b3d0f,chair,ShapeNet,False,chair/ShapeNet/6a254cc3d81881c91a3b39b07e4b3d0f,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0756_sigma_0.05.npz,False,chair,chair,0,"['the', 'overall', 'shape', 'is', 'more', 'rectangular']",6,the overall shape is more rectangular,train,test,train,test,"[1, 10, 201, 93, 7, 34, 128, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1389,"The target has short, square shaped legs",3SB4CE2TJXOEN2UN00XSOJNV7YSXA2,34,noisy_pc_chair_0970_sigma_0.05,chair,ModelNet,f4f1aba65ebe48eb70930286c914896b,chair,ShapeNet,False,chair/ShapeNet/f4f1aba65ebe48eb70930286c914896b,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_chair_0970_sigma_0.05.npz,False,chair,chair,0,"['the', 'target', 'has', 'short', 'square', 'shaped', 'legs']",7,the target has short square shaped legs,train,test,train,test,"[1, 10, 11, 24, 8, 50, 14, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_918,The back rest is short.,3COPXFW7XD5FQ61IQ000OK4OADLKPS,1002,noisy_pc_4b79197258fad3363efeda73d60343e4_sigma_0.05,chair,ShapeNet,bca8b73b32108ad6d42ec7e303174a87,chair,ShapeNet,False,chair/ShapeNet/bca8b73b32108ad6d42ec7e303174a87,100pcPerClassOutput/chair/sigma_0.05/noisy_pc_4b79197258fad3363efeda73d60343e4_sigma_0.05.npz,False,chair,chair,0,"['the', 'back', 'rest', 'is', 'short']",5,the back rest is short,train,test,train,test,"[1, 10, 183, 1154, 7, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
