workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_242,Has a closed handle,3J88R45B2IRLA60PPJFPEECQ2X0PX4,89,noisy_pc_159e56c18906830278d8f8c02c47cde0_sigma_0.09,mug,ShapeNet,46955fddcc83a50f79b586547e543694,mug,ShapeNet,False,mug/ShapeNet/46955fddcc83a50f79b586547e543694,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_159e56c18906830278d8f8c02c47cde0_sigma_0.09.npz,False,mug,mug,0,"['has', 'a', 'closed', 'handle']",4,has a closed handle,train,test,train,test,"[1, 24, 26, 1005, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_242,top is narrower than bottom,34FNN24DCO26H18GA0SDZMEID4XY53,76,noisy_pc_6aec84952a5ffcf33f60d03e1cb068dc_sigma_0.09,mug,ShapeNet,9737c77d3263062b8ca7a0a01bcd55b6,mug,ShapeNet,False,mug/ShapeNet/9737c77d3263062b8ca7a0a01bcd55b6,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_6aec84952a5ffcf33f60d03e1cb068dc_sigma_0.09.npz,False,mug,mug,0,"['top', 'is', 'narrow', '-er', 'than', 'bottom']",6,top is narrow -er than bottom,train,test,train,test,"[1, 99, 7, 210, 9, 131, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_242,Handle is wedge shaped,369J354OFF32EENULDGCKSLE43IG63,53,noisy_pc_9961ccbafd59cb03fe36eb2ab5fa00e0_sigma_0.09,mug,ShapeNet,f99e19b8c4a729353deb88581ea8417a,mug,ShapeNet,False,mug/ShapeNet/f99e19b8c4a729353deb88581ea8417a,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_9961ccbafd59cb03fe36eb2ab5fa00e0_sigma_0.09.npz,True,mug,mug,0,"['handle', 'is', 'wedge', 'shaped']",4,handle is wedge shaped,train,test,train,test,"[1, 29, 7, 1700, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_242,Handle is flatter,3A0EX8ZRNAH86HPPBAJQ28EAN0JBYH,28,noisy_pc_34ae0b61b0d8aaf2d7b20fded0142d7a_sigma_0.09,mug,ShapeNet,3093367916fb5216823323ed0e090a6f,mug,ShapeNet,False,mug/ShapeNet/3093367916fb5216823323ed0e090a6f,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_34ae0b61b0d8aaf2d7b20fded0142d7a_sigma_0.09.npz,False,mug,mug,0,"['handle', 'is', 'flat', '-er']",4,handle is flat -er,train,test,train,test,"[1, 29, 7, 129, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_242,bottom is wider than lip,3907X2AHF2YK9QXS1UUWOOIUPP42PD,43,noisy_pc_c39fb75015184c2a0c7f097b1a1f7a5_sigma_0.09,mug,ShapeNet,5c7c4cb503a757147dbda56eabff0c47,mug,ShapeNet,False,mug/ShapeNet/5c7c4cb503a757147dbda56eabff0c47,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_c39fb75015184c2a0c7f097b1a1f7a5_sigma_0.09.npz,False,mug,mug,0,"['bottom', 'is', 'wide', '-er', 'than', 'lip']",6,bottom is wide -er than lip,train,test,train,test,"[1, 76, 7, 83, 9, 131, 125, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_747,The bottom is wider than the lip.,3A1PQ49WVJAL7OH8ZDMDAW6YBR71HF,87,noisy_pc_73b8b6456221f4ea20d3c05c08e26f_sigma_0.09,mug,ShapeNet,d309d5f8038df4121198791a5b8655c,mug,ShapeNet,False,mug/ShapeNet/d309d5f8038df4121198791a5b8655c,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_73b8b6456221f4ea20d3c05c08e26f_sigma_0.09.npz,False,mug,mug,0,"['the', 'bottom', 'is', 'wide', '-er', 'than', 'the', 'lip']",8,the bottom is wide -er than the lip,train,test,train,test,"[1, 10, 76, 7, 83, 9, 131, 10, 125, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1461,Has a lower handle,3VHHR074H5A146F0FEIK3YQIVUG7LP,34,noisy_pc_85a2511c375b5b32f72755048bac3f96_sigma_0.09,mug,ShapeNet,f7d776fd68b126f23b67070c4a034f08,mug,ShapeNet,False,mug/ShapeNet/f7d776fd68b126f23b67070c4a034f08,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_85a2511c375b5b32f72755048bac3f96_sigma_0.09.npz,True,mug,mug,0,"['has', 'a', 'low', '-er', 'handle']",5,has a low -er handle,train,test,train,test,"[1, 24, 26, 345, 9, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1191,The target has a curved base.,339ANSOTR7VN9KEED5AGFN3CKALKIT,36,noisy_pc_e363fa24c824d20ca363b55cbd344baa_sigma_0.09,mug,ShapeNet,f1866a48c2fc17f85b2ecd212557fda0,mug,ShapeNet,False,mug/ShapeNet/f1866a48c2fc17f85b2ecd212557fda0,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_e363fa24c824d20ca363b55cbd344baa_sigma_0.09.npz,True,mug,mug,0,"['the', 'target', 'has', 'a', 'curved', 'base']",6,the target has a curved base,train,test,train,test,"[1, 10, 11, 24, 26, 51, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_456,The target has a c shaped handle.,3T3IWE1XG8GZT1SKKMTHPGHUUXTQT8,54,noisy_pc_e71102b6da1d63f3a363b55cbd344baa_sigma_0.09,mug,ShapeNet,1d18255a04d22794e521eeb8bb14c5b3,mug,ShapeNet,False,mug/ShapeNet/1d18255a04d22794e521eeb8bb14c5b3,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_e71102b6da1d63f3a363b55cbd344baa_sigma_0.09.npz,False,mug,mug,0,"['the', 'target', 'has', 'a', 'c', 'shaped', 'handle']",7,the target has a c shaped handle,train,test,train,test,"[1, 10, 11, 24, 26, 1682, 14, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1601,The target mug has a very slim handle.,3F6HPJW4JFTATZUTDG8RGIQQILY2WX,146,noisy_pc_f1c5b9bb744afd96d6e1954365b10b52_sigma_0.09,mug,ShapeNet,92d6394732e6058d4bcbafcc905a9b98,mug,ShapeNet,False,mug/ShapeNet/92d6394732e6058d4bcbafcc905a9b98,100pcPerClassOutput/mug/sigma_0.09/noisy_pc_f1c5b9bb744afd96d6e1954365b10b52_sigma_0.09.npz,False,mug,mug,0,"['the', 'target', 'mug', 'has', 'a', 'very', 'slim', 'handle']",8,the target mug has a very slim handle,train,test,train,test,"[1, 10, 11, 1684, 24, 26, 62, 829, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
