workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1086,The long support arm is a smooth curve,3907X2AHF2YK9QXS1UUWOOIUJ5J2PI,47,d385523f0cd93d48d6084fb53091249,lamp,ShapeNet,3c4d8c4ebe9dedbc2cd2160e449d45ae,lamp,ShapeNet,False,lamp/ShapeNet/3c4d8c4ebe9dedbc2cd2160e449d45ae,lamp/ShapeNet/d385523f0cd93d48d6084fb53091249,True,lamp,lamp,0,"['the', 'long', 'support', 'arm', 'is', 'a', 'smooth', 'curve']",8,the long support arm is a smooth curve,train,test,train,test,"[1, 10, 32, 843, 517, 7, 26, 379, 43, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_947,The bottom of the shade has a smaller diameter.,3QFUFYSY908ILRNLR5HF591NVP5F4H,62,ed57181b9e7644a3f51f77a6d7299806,lamp,ShapeNet,39439a41656f7d50d42b9650f19dd425,lamp,ShapeNet,False,lamp/ShapeNet/39439a41656f7d50d42b9650f19dd425,lamp/ShapeNet/ed57181b9e7644a3f51f77a6d7299806,True,lamp,lamp,2,"['the', 'bottom', 'of', 'the', 'shade', 'has', 'a', 'small', '-er', 'diameter']",10,the bottom of the shade has a small -er diameter,train,test,train,test,"[1, 10, 76, 38, 10, 1873, 24, 26, 111, 9, 268, 2, 0, 0, 0, 0, 0, 0]"
user_1723,It narrower body.,3SPJ033423WEO0N1Z2W70WXMJUHJYZ,1173,cbe4301ef1418bd8b036d6b8e2579386,lamp,ShapeNet,5d265be0ec25af3a7f772a7ed7ffb61,lamp,ShapeNet,False,lamp/ShapeNet/5d265be0ec25af3a7f772a7ed7ffb61,lamp/ShapeNet/cbe4301ef1418bd8b036d6b8e2579386,True,lamp,lamp,3,"['it', 'narrow', '-er', 'body']",4,it narrow -er body,train,test,train,test,"[1, 23, 210, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1086,The shade is narrower at the top,3MMN5BL1W1X395WYDEG9QUTRK7P3M1,77,bc218fcb647e7127984fb9ec7e40829,lamp,ShapeNet,35e76406291b06dd66c1e3622e549d2f,lamp,ShapeNet,False,lamp/ShapeNet/35e76406291b06dd66c1e3622e549d2f,lamp/ShapeNet/bc218fcb647e7127984fb9ec7e40829,True,lamp,lamp,3,"['the', 'shade', 'is', 'narrow', '-er', 'at', 'the', 'top']",8,the shade is narrow -er at the top,train,test,train,test,"[1, 10, 1873, 7, 210, 9, 98, 10, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_65,It has a longer chain,3GS6S824SSQ6ILJMZZ6B86TNH5BNWV,117,5859f1dcc6e47322e7c7920f6a65a54d,lamp,ShapeNet,4e54fc131882f2233c8d0fdfb1cc2535,lamp,ShapeNet,False,lamp/ShapeNet/4e54fc131882f2233c8d0fdfb1cc2535,lamp/ShapeNet/5859f1dcc6e47322e7c7920f6a65a54d,True,lamp,lamp,1,"['it', 'has', 'a', 'long', '-er', 'chain']",6,it has a long -er chain,train,test,train,test,"[1, 23, 24, 26, 32, 9, 2194, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It is shorter.,39KFRKBFIPOSPBEYFFOC8SE8INLYOP,87,71c61e41a85671c91b82f1530fe53352,lamp,ShapeNet,lamp_0093,lamp,ModelNet,False,lamp/ModelNet/lamp_0093,lamp/ShapeNet/71c61e41a85671c91b82f1530fe53352,False,lamp,lamp,1,"['it', 'is', 'short', '-er']",4,it is short -er,test,test,test,test,"[1, 23, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_704,Its shade has a taller element connected to it.,3DOCMVPBTP7GVRA87YFOCNGWO0CNNN,516,f41fdea6ec38439193b00be700931140,lamp,ShapeNet,5aefcf6b38e180f06df11193c72a632e,lamp,ShapeNet,False,lamp/ShapeNet/5aefcf6b38e180f06df11193c72a632e,lamp/ShapeNet/f41fdea6ec38439193b00be700931140,True,lamp,lamp,3,"['its', 'shade', 'has', 'a', 'tall', '-er', 'element', 'connected', 'to', 'it']",10,its shade has a tall -er element connected to it,train,test,train,test,"[1, 5, 1873, 24, 26, 53, 9, 2090, 127, 58, 23, 2, 0, 0, 0, 0, 0, 0]"
user_158,Its base is smaller.,30IQTZXKAMZIMPW58Y0ZZDBHID0X0F,170,d378c508566d68cb48d2aef7552b65e3,lamp,ShapeNet,51fd15743cd0568219179d4701451afa,lamp,ShapeNet,False,lamp/ShapeNet/51fd15743cd0568219179d4701451afa,lamp/ShapeNet/d378c508566d68cb48d2aef7552b65e3,False,lamp,lamp,3,"['its', 'base', 'is', 'small', '-er']",5,its base is small -er,train,test,train,test,"[1, 5, 103, 7, 111, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1709,The vertical stem  is thinner,39OWYR0EPMKYJY15GC5MLY5VW12YFD,170,a0e1732661667683664b3b9b23ddfcbc,lamp,ShapeNet,76db5f1046bfcd97fcb8d8c6d4df8143,lamp,ShapeNet,False,lamp/ShapeNet/76db5f1046bfcd97fcb8d8c6d4df8143,lamp/ShapeNet/a0e1732661667683664b3b9b23ddfcbc,False,lamp,lamp,3,"['the', 'vertical', 'stem', 'is', 'thin', '-er']",6,the vertical stem is thin -er,train,test,train,test,"[1, 10, 283, 588, 7, 60, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,The target is taller.,3OVHNO1VE8U1Q4XELSCFB5BCQYNZDN,61,86d556273aa5075aaa660c42e675c161,lamp,ShapeNet,41c5a45c63f07f46c1c74fb098c415cf,lamp,ShapeNet,False,lamp/ShapeNet/41c5a45c63f07f46c1c74fb098c415cf,lamp/ShapeNet/86d556273aa5075aaa660c42e675c161,True,lamp,lamp,0,"['the', 'target', 'is', 'tall', '-er']",5,the target is tall -er,train,test,train,test,"[1, 10, 11, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
