workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_266,It looks like a bottle vase.,3KB8R4ZV1G08KQ4PH4XKV876FS7BG6,68,noisy_pc_vase_0103_sigma_0.085,vase,ModelNet,vase_0402,vase,ModelNet,FALSE,vase/ModelNet/vase_0402,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0103_sigma_0.085.npz,FALSE,vase,vase,0,"['it', 'looks', 'like', 'a', 'bottle', 'vase']",6,it looks like a bottle vase,train,test,train,test,"[1, 23, 33, 35, 26, 577, 534, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,The footprint is bigger.,3FTOP5WARHHHR5RGRULY8433GGW0JI,50,noisy_pc_e51ccd45d54c9f4225e65d4b5f3b6456_sigma_0.085,vase,ShapeNet,vase_0253,vase,ModelNet,FALSE,vase/ModelNet/vase_0253,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_e51ccd45d54c9f4225e65d4b5f3b6456_sigma_0.085.npz,TRUE,vase,jar,0,"['the', 'footprint', 'is', 'big', '-er']",5,the footprint is big -er,train,test,train,test,"[1, 10, 1255, 7, 320, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,There are bubbles on the outside.,39JEC7537WUACSMQKZS16TGYKSWCV4,59,noisy_pc_vase_0499_sigma_0.085,vase,ModelNet,vase_0377,vase,ModelNet,FALSE,vase/ModelNet/vase_0377,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0499_sigma_0.085.npz,FALSE,vase,vase,0,"['there', 'are', 'bubbles', 'on', 'the', 'outside']",6,there are bubbles on the outside,train,test,train,test,"[1, 15, 16, 1780, 20, 10, 1636, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It has a lesser height.,3U5JL4WY5M2ZLDE6RZN1BG1V8Q74X6,309,noisy_pc_decc21646f053418df2fa7eaa812363c_sigma_0.085,vase,ShapeNet,3304e9400b2d610a69eaff4d4a8a103,vase,ShapeNet,FALSE,vase/ShapeNet/3304e9400b2d610a69eaff4d4a8a103,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_decc21646f053418df2fa7eaa812363c_sigma_0.085.npz,TRUE,jar,jar,0,"['it', 'has', 'a', 'less', '-er', 'height']",6,it has a less -er height,train,test,train,test,"[1, 23, 24, 26, 229, 9, 117, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,The target has a smaller mouth.,35BLDD71I8QNKLX0CDC9HRHJTA4VZ8,95,noisy_pc_58757fb09681ea3236b0f2a1430e993a_sigma_0.085,vase,ShapeNet,9b93492086316fdc61c8cbc38c089792,vase,ShapeNet,FALSE,vase/ShapeNet/9b93492086316fdc61c8cbc38c089792,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_58757fb09681ea3236b0f2a1430e993a_sigma_0.085.npz,TRUE,jar,jar,0,"['the', 'target', 'has', 'a', 'small', '-er', 'mouth']",7,the target has a small -er mouth,train,test,train,test,"[1, 10, 11, 24, 26, 111, 9, 175, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,There are no handles.,3EQHHY4HQUL6VANGGU67SM7E5WN5G1,59,noisy_pc_cc432b9eeeb02485a6a06826583046ba_sigma_0.085,vase,ShapeNet,c067e10ee057104abd16d4490a10a752,vase,ShapeNet,FALSE,vase/ShapeNet/c067e10ee057104abd16d4490a10a752,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_cc432b9eeeb02485a6a06826583046ba_sigma_0.085.npz,FALSE,jar,jar,0,"['there', 'are', 'no', 'handles']",4,there are no handles,train,test,train,test,"[1, 15, 16, 123, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,It doesn't look like a long trumpet.,3634BBTX0QNCTYM0CUJJZAB793TFIM,36,noisy_pc_e0855a7115eda487186588b1d2fb9823_sigma_0.085,vase,ShapeNet,ee425a7b654bcac8bbdc99ec57ef9c40,vase,ShapeNet,FALSE,vase/ShapeNet/ee425a7b654bcac8bbdc99ec57ef9c40,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_e0855a7115eda487186588b1d2fb9823_sigma_0.085.npz,FALSE,jar,jar,0,"['it', 'does', 'not', 'look', 'like', 'a', 'long', 'trumpet']",8,it does not look like a long trumpet,train,test,train,test,"[1, 23, 39, 40, 186, 35, 26, 32, 554, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_704,Its foot is smaller at the very bottom.,3E47SOBEYSP5QM2QLSTIR4Q4CPJICU,255,noisy_pc_488139f06d9905d830ffab76baff35a5_sigma_0.085,vase,ShapeNet,f93f2a0590a805da30f549f12038e49a,vase,ShapeNet,FALSE,vase/ShapeNet/f93f2a0590a805da30f549f12038e49a,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_488139f06d9905d830ffab76baff35a5_sigma_0.085.npz,TRUE,jar,jar,0,"['its', 'foot', 'is', 'small', '-er', 'at', 'the', 'very', 'bottom']",9,its foot is small -er at the very bottom,val,test,val,test,"[1, 5, 1251, 7, 111, 9, 98, 10, 62, 76, 2, 0, 0, 0, 0, 0, 0, 0]"
user_266,There's no pointed tip at the bottom.,39JEC7537WUACSMQKZS16TGYKSXCV5,49,noisy_pc_vase_0248_sigma_0.085,vase,ModelNet,d6b6a7a860cfeeda2f2318fdd66be40a,vase,ShapeNet,FALSE,vase/ShapeNet/d6b6a7a860cfeeda2f2318fdd66be40a,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0248_sigma_0.085.npz,TRUE,jar,vase,0,"['there', 'is', 'no', 'pointed', 'tip', 'at', 'the', 'bottom']",8,there is no pointed tip at the bottom,train,test,train,test,"[1, 15, 7, 123, 387, 357, 98, 10, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It is not as long on the bottom.,3V0Z7YWSI0TXEAUON63VUG7C813V2Y,191,noisy_pc_vase_0260_sigma_0.085,vase,ModelNet,vase_0065,vase,ModelNet,FALSE,vase/ModelNet/vase_0065,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0260_sigma_0.085.npz,FALSE,vase,vase,0,"['it', 'is', 'not', 'as', 'long', 'on', 'the', 'bottom']",8,it is not as long on the bottom,train,test,train,test,"[1, 23, 7, 40, 52, 32, 20, 10, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2117,The target does  not have flowers in it.,3LWJHTCVCEFPAWAJP2OS8C2T0D8FQN,55,noisy_pc_3cd46f573c68e5fcfd41ffe96f6ef4b4_sigma_0.085,vase,ShapeNet,vase_0119,vase,ModelNet,FALSE,vase/ModelNet/vase_0119,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_3cd46f573c68e5fcfd41ffe96f6ef4b4_sigma_0.085.npz,FALSE,vase,jar,0,"['the', 'target', 'does', 'not', 'have', 'flowers', 'in', 'it']",8,the target does not have flowers in it,train,test,train,test,"[1, 10, 11, 39, 40, 84, 147, 90, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_39,target has a more narrow opening,3GU1KF0O4KUEX3XOKNN7PHLYGJ6PB0,115,noisy_pc_537670c883cc57f730612f5c0ef21eb8_sigma_0.085,vase,ShapeNet,ce641a7a7b0cfe1ad85aa63241192dd1,vase,ShapeNet,FALSE,vase/ShapeNet/ce641a7a7b0cfe1ad85aa63241192dd1,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_537670c883cc57f730612f5c0ef21eb8_sigma_0.085.npz,TRUE,jar,jar,0,"['target', 'has', 'a', 'more', 'narrow', 'opening']",6,target has a more narrow opening,train,test,train,test,"[1, 11, 24, 26, 34, 210, 197, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_433,The body is wider on the top half of it,3HVVDCPGTGL823J6BWAB22KWQVIYT2,88,noisy_pc_vase_0101_sigma_0.085,vase,ModelNet,32dc55c3e945384dbc5e533ab711fd24,vase,ShapeNet,FALSE,vase/ShapeNet/32dc55c3e945384dbc5e533ab711fd24,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0101_sigma_0.085.npz,TRUE,jar,vase,0,"['the', 'body', 'is', 'wide', '-er', 'on', 'the', 'top', 'half', 'of', 'it']",11,the body is wide -er on the top half of it,train,test,train,test,"[1, 10, 45, 7, 83, 9, 20, 10, 99, 158, 38, 23, 2, 0, 0, 0, 0, 0]"
user_266,It's taller.,3SNLUL3WO6G32HRWSMBVDQ420U4LU7,105,noisy_pc_e571895508fb587a561dce3fe08634b7_sigma_0.085,vase,ShapeNet,5a4af043ba70f9682db9fca4b68095,vase,ShapeNet,FALSE,vase/ShapeNet/5a4af043ba70f9682db9fca4b68095,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_e571895508fb587a561dce3fe08634b7_sigma_0.085.npz,FALSE,jar,jar,0,"['it', 'is', 'tall', '-er']",4,it is tall -er,train,test,train,test,"[1, 23, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_374,It is a cylinder,326O153BMKR3F96IP5Y2QVAU5X3EDY,61,noisy_pc_vase_0511_sigma_0.085,vase,ModelNet,d278b42591a08a1555f46d55537192b6,vase,ShapeNet,FALSE,vase/ShapeNet/d278b42591a08a1555f46d55537192b6,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_vase_0511_sigma_0.085.npz,TRUE,jar,vase,0,"['it', 'is', 'a', 'cylinder']",4,it is a cylinder,train,test,train,test,"[1, 23, 7, 26, 66, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,There are two mouths.,3WOKGM4L739VSGID77D3G0KPFA6O0P,55,noisy_pc_f9ae4485b706ab1893fa5ed2239f9b08_sigma_0.085,vase,ShapeNet,c5351c4aa1011866cef8c6985387af2a,vase,ShapeNet,FALSE,vase/ShapeNet/c5351c4aa1011866cef8c6985387af2a,100pcPerClassOutput/vase/sigma_0.085/noisy_pc_f9ae4485b706ab1893fa5ed2239f9b08_sigma_0.085.npz,FALSE,jar,jar,0,"['there', 'are', 'two', 'mouths']",4,there are two mouths,train,test,train,test,"[1, 15, 16, 17, 1834, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
