workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_9999,The target has less noise,assignment_0,200,lamp_0009,lamp,CustomNoiseyDataset,noisy_pc_lamp_0009.npz_sigma_0.02,lamp,ModelNet,FALSE,pcinput/lamp/lamp_0009,pcoutput/lamp/noisy_pc_lamp_0009.npz_sigma_0.02,TRUE,lamp,lamp,0,"['the', 'target', 'has', 'less', 'noise']",5,The target has less noise,test,test,test,test,"[1, 10, 11, 24, 229, 3681, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less jagged,assignment_1,200,2d4c4ceacdd41cf1f8c0f5916f81d758,lamp,CustomNoiseyDataset,noisy_pc_2d4c4ceacdd41cf1f8c0f5916f81d758.npz_sigma_0.01,lamp,ShapeNet,FALSE,pcinput/lamp/2d4c4ceacdd41cf1f8c0f5916f81d758,pcoutput/lamp/noisy_pc_2d4c4ceacdd41cf1f8c0f5916f81d758.npz_sigma_0.01,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'jagged']",5,The target is less jagged,test,test,test,test,"[1, 10, 11, 7, 229, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less rough,assignment_2,200,lamp_0003,lamp,CustomNoiseyDataset,noisy_pc_lamp_0003.npz_sigma_0.003,lamp,ModelNet,FALSE,pcinput/lamp/lamp_0003,pcoutput/lamp/noisy_pc_lamp_0003.npz_sigma_0.003,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'rough']",5,The target is less rough,test,test,test,test,"[1, 10, 11, 7, 229, 2208, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,It is smooth,assignment_3,200,7b2b1c24a60bcfab2cd2160e449d45ae,lamp,CustomNoiseyDataset,noisy_pc_7b2b1c24a60bcfab2cd2160e449d45ae.npz_sigma_0.015,lamp,ShapeNet,FALSE,pcinput/lamp/7b2b1c24a60bcfab2cd2160e449d45ae,pcoutput/lamp/noisy_pc_7b2b1c24a60bcfab2cd2160e449d45ae.npz_sigma_0.015,TRUE,lamp,lamp,0,"['it', 'is', 'smooth']",3,It is smooth,test,test,test,test,"[1, 23, 7, 379, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target has less noise,assignment_4,200,7bc039fffc79dec9e680aea9bdb841f9,lamp,CustomNoiseyDataset,noisy_pc_7bc039fffc79dec9e680aea9bdb841f9.npz_sigma_0.003,lamp,ShapeNet,FALSE,pcinput/lamp/7bc039fffc79dec9e680aea9bdb841f9,pcoutput/lamp/noisy_pc_7bc039fffc79dec9e680aea9bdb841f9.npz_sigma_0.003,TRUE,lamp,lamp,0,"['the', 'target', 'has', 'less', 'noise']",5,The target has less noise,test,test,test,test,"[1, 10, 11, 24, 229, 3681, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,It has less noise,assignment_5,200,lamp_0006,lamp,CustomNoiseyDataset,noisy_pc_lamp_0006.npz_sigma_0.005,lamp,ModelNet,FALSE,pcinput/lamp/lamp_0006,pcoutput/lamp/noisy_pc_lamp_0006.npz_sigma_0.005,TRUE,lamp,lamp,0,"['it', 'has', 'less', 'noise']",4,It has less noise,test,test,test,test,"[1, 23, 24, 229, 3681, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less jagged,assignment_6,200,lamp_0024,lamp,CustomNoiseyDataset,noisy_pc_lamp_0024.npz_sigma_0.01,lamp,ModelNet,FALSE,pcinput/lamp/lamp_0024,pcoutput/lamp/noisy_pc_lamp_0024.npz_sigma_0.01,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'jagged']",5,The target is less jagged,test,test,test,test,"[1, 10, 11, 7, 229, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less bumpy,assignment_7,200,e655d36c391a57c156ca893ec1044405,lamp,CustomNoiseyDataset,noisy_pc_e655d36c391a57c156ca893ec1044405.npz_sigma_0.003,lamp,ShapeNet,FALSE,pcinput/lamp/e655d36c391a57c156ca893ec1044405,pcoutput/lamp/noisy_pc_e655d36c391a57c156ca893ec1044405.npz_sigma_0.003,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'bumpy']",5,The target is less bumpy,test,test,test,test,"[1, 10, 11, 7, 229, 2937, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less jagged,assignment_8,200,lamp_0019,lamp,CustomNoiseyDataset,noisy_pc_lamp_0019.npz_sigma_0.03,lamp,ModelNet,FALSE,pcinput/lamp/lamp_0019,pcoutput/lamp/noisy_pc_lamp_0019.npz_sigma_0.03,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'jagged']",5,The target is less jagged,test,test,test,test,"[1, 10, 11, 7, 229, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_9999,The target is less jagged,assignment_9,200,6c0b3b0c6bc6eb97862d7667d873e591,lamp,CustomNoiseyDataset,noisy_pc_6c0b3b0c6bc6eb97862d7667d873e591.npz_sigma_0.01,lamp,ShapeNet,FALSE,pcinput/lamp/6c0b3b0c6bc6eb97862d7667d873e591,pcoutput/lamp/noisy_pc_6c0b3b0c6bc6eb97862d7667d873e591.npz_sigma_0.01,TRUE,lamp,lamp,0,"['the', 'target', 'is', 'less', 'jagged']",5,The target is less jagged,test,test,test,test,"[1, 10, 11, 7, 229, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
