workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_266,it is more contemporary,38F71OA9GVPYPHCRX9HBR3IOQCFMFB,59,60abc8a27bb77020535deb3b0c692a2a,vase,ShapeNet,ad64ff0a281c92b7eb895521e4d63cbe,vase,ShapeNet,False,vase/ShapeNet/ad64ff0a281c92b7eb895521e4d63cbe,vase/ShapeNet/60abc8a27bb77020535deb3b0c692a2a,False,jar,jar,0,"['it', 'is', 'more', 'contemporary']",4,it is more contemporary,train,test,train,test,"[1, 23, 7, 34, 1291, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1641,the base is fatter and shaped differently,3QUO65DNQWHB82UT5ERN578WVZ0OUI,85,275cc21fad6aa1b6bfa78a7d067c469c,vase,ShapeNet,vase_0077,vase,ModelNet,False,vase/ModelNet/vase_0077,vase/ShapeNet/275cc21fad6aa1b6bfa78a7d067c469c,True,vase,jar,3,"['the', 'base', 'is', 'fatter', 'and', 'shaped', 'differently']",7,the base is fatter and shaped differently,train,test,train,test,"[1, 10, 103, 7, 3, 47, 14, 1808, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_77,the lip curves and juts out more,3N1FSUEFL7TLN79P0ZMPH9Y3S8TD4B,104,vase_0235,vase,ModelNet,vase_0188,vase,ModelNet,False,vase/ModelNet/vase_0188,vase/ModelNet/vase_0235,True,vase,vase,2,"['the', 'lip', 'curves', 'and', 'juts', 'out', 'more']",7,the lip curves and juts out more,test,test,test,test,"[1, 10, 125, 156, 47, 1214, 89, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,it is not so circular,3UNH76FOCUY4P8TM2Z9ZGOP4WN6YML,51,vase_0351,vase,ModelNet,vase_0314,vase,ModelNet,False,vase/ModelNet/vase_0314,vase/ModelNet/vase_0351,True,vase,vase,3,"['it', 'is', 'not', 'so', 'circular']",5,it is not so circular,train,test,train,test,"[1, 23, 7, 40, 1668, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1806,the top of the body is not as tall,39GAF6DQWTTQPPCS423HPXX7GVSV1K,537,vase_0153,vase,ModelNet,vase_0411,vase,ModelNet,False,vase/ModelNet/vase_0411,vase/ModelNet/vase_0153,True,vase,vase,0,"['the', 'top', 'of', 'the', 'body', 'is', 'not', 'as', 'tall']",9,the top of the body is not as tall,train,test,train,test,"[1, 10, 99, 38, 10, 45, 7, 40, 52, 53, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_266,the lip is smooth,3W8CV64QJ4S3WTK33Q16P2OH6SJH93,67,8fb8d64e04e0be16a383bc0337fb2972,vase,ShapeNet,777bbb60f4596a5155f46d55537192b6,vase,ShapeNet,False,vase/ShapeNet/777bbb60f4596a5155f46d55537192b6,vase/ShapeNet/8fb8d64e04e0be16a383bc0337fb2972,False,jar,jar,0,"['the', 'lip', 'is', 'smooth']",4,the lip is smooth,train,test,train,test,"[1, 10, 125, 7, 379, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_433,the top half of the body is bigger,3HVVDCPGTGL823J6BWAB22KWQVIYT2,88,vase_0101,vase,ModelNet,32dc55c3e945384dbc5e533ab711fd24,vase,ShapeNet,False,vase/ShapeNet/32dc55c3e945384dbc5e533ab711fd24,vase/ModelNet/vase_0101,True,jar,vase,0,"['the', 'top', 'half', 'of', 'the', 'body', 'is', 'bigger']",8,the top half of the body is bigger,train,test,train,test,"[1, 10, 99, 158, 38, 10, 45, 7, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_230,the bottom is convex,3UWN2HHPU0YDB42DFUWABHQ3KS1NSD,178,vase_0153,vase,ModelNet,vase_0411,vase,ModelNet,False,vase/ModelNet/vase_0411,vase/ModelNet/vase_0153,True,vase,vase,2,"['the', 'bottom', 'is', 'convex']",4,the bottom is convex,train,test,train,test,"[1, 10, 76, 7, 1403, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_920,the body is less deep,39LOEL67OUYOOGUUJD6QLCSW3HU839,124,81cc70eb5ec9e3c75706d1c54190f27a,vase,ShapeNet,a886fcd1a2b625208d1dabf86742ec3c,vase,ShapeNet,False,vase/ShapeNet/a886fcd1a2b625208d1dabf86742ec3c,vase/ShapeNet/81cc70eb5ec9e3c75706d1c54190f27a,False,jar,jar,3,"['the', 'body', 'is', 'less', 'deep']",5,the body is less deep,train,test,train,test,"[1, 10, 45, 7, 229, 573, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1602,it is fatter,3KRVW3HTZPE7TMHD3THAY213F23SMU,56,97199437c2b3acb664cc17fe2c6413a,vase,ShapeNet,vase_0058,vase,ModelNet,False,vase/ModelNet/vase_0058,vase/ShapeNet/97199437c2b3acb664cc17fe2c6413a,False,vase,jar,1,"['it', 'is', 'fatter']",3,it is fatter,train,test,train,test,"[1, 23, 7, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
