workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1712,there are more arm rails,3WAKVUDHUY94NW2UOSALULM1CCO7UK,61,ec637164befa6a016bba96a850a0781f,chair,ShapeNet,4e3047842ba1a384d2b12aa6a0f050b3,chair,ShapeNet,False,chair/ShapeNet/4e3047842ba1a384d2b12aa6a0f050b3,chair/ShapeNet/ec637164befa6a016bba96a850a0781f,False,chair,chair,2,"['there', 'are', 'more', 'arm', 'rails']",5,there are more arm rails,train,test,train,test,"[1, 15, 16, 34, 517, 1047, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1134,it looks more soft,3Z7ISHFUH2OP991N4K1ZPDXBPB08ZI,37,19e2321df1141bf3b76e29c9c43bc7aa,chair,ShapeNet,df609533cd186278398c7598b0d2e5d5,chair,ShapeNet,False,chair/ShapeNet/df609533cd186278398c7598b0d2e5d5,chair/ShapeNet/19e2321df1141bf3b76e29c9c43bc7aa,False,chair,chair,1,"['it', 'looks', 'more', 'soft']",4,it looks more soft,train,test,train,test,"[1, 23, 33, 34, 706, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1659,the is more girthy,36DSNE9QZ7R2UMJZTFN9Y5ZLLJ9JOV,285,be745a383ceccfe453fa79783efbc3bf,chair,ShapeNet,2f6b0ddf12d1311795bea7c29e873d16,chair,ShapeNet,False,chair/ShapeNet/2f6b0ddf12d1311795bea7c29e873d16,chair/ShapeNet/be745a383ceccfe453fa79783efbc3bf,True,chair,chair,4,"['the', 'is', 'more', 'girthy']",4,the is more girthy,train,test,train,test,"[1, 10, 7, 34, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1128,the seat does not have a cushion,3FUI0JHJPZR2NJOO7WBUUVKLUZ633V,150,41ab50680dfef43aba5342d638d0c267,chair,ShapeNet,776cdc2ed288076882eddefc99ebacfd,chair,ShapeNet,False,chair/ShapeNet/776cdc2ed288076882eddefc99ebacfd,chair/ShapeNet/41ab50680dfef43aba5342d638d0c267,True,chair,chair,3,"['the', 'seat', 'does', 'not', 'have', 'a', 'cushion']",7,the seat does not have a cushion,train,test,train,test,"[1, 10, 2255, 39, 40, 84, 26, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1292,the texture of the target has lines,3BF51CHDTX3L0ZWQ3UIDWRNNUFZ0HR,223,c9913221819588b519fb4103277a6b93,chair,ShapeNet,ddb53381dfd0a2d7d2b12aa6a0f050b3,chair,ShapeNet,False,chair/ShapeNet/ddb53381dfd0a2d7d2b12aa6a0f050b3,chair/ShapeNet/c9913221819588b519fb4103277a6b93,False,chair,chair,0,"['the', 'texture', 'of', 'the', 'target', 'has', 'lines']",7,the texture of the target has lines,train,test,train,test,"[1, 10, 1689, 38, 10, 11, 24, 398, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_757,it has bowed legs,3R6BYFZZP959JTBVBGJK2KYM4CRXFX,153,chair_0009,chair,ModelNet,93001617daca67ebc8687ff9b0b4e4ac,chair,ShapeNet,False,chair/ShapeNet/93001617daca67ebc8687ff9b0b4e4ac,chair/ModelNet/chair_0009,False,chair,chair,1,"['it', 'has', 'bowed', 'legs']",4,it has bowed legs,train,test,train,test,"[1, 23, 24, 2386, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1651,it has a skinny back,30H4UDGLT4BAGU1LBCDG3XWSZLVPMN,36,2031dca3aaeff940f7628281ecb18112,chair,ShapeNet,22bee1d9c6357b295493ccf8f26ab2c,chair,ShapeNet,False,chair/ShapeNet/22bee1d9c6357b295493ccf8f26ab2c,chair/ShapeNet/2031dca3aaeff940f7628281ecb18112,False,chair,chair,0,"['it', 'has', 'a', 'skinny', 'back']",5,it has a skinny back,train,test,train,test,"[1, 23, 24, 26, 282, 183, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_405,the legs are on a pole and feet are crosses,3E1QT0TDFR23EJCD4GDDPIULT03I84,65,bca76c4925b9a33177a7d775ec38a82c,chair,ShapeNet,891f1cd440afa11517b431cae0dd70ed,chair,ShapeNet,False,chair/ShapeNet/891f1cd440afa11517b431cae0dd70ed,chair/ShapeNet/bca76c4925b9a33177a7d775ec38a82c,True,chair,chair,0,"['the', 'legs', 'are', 'on', 'a', 'pole', 'and', 'feet', 'are', 'crosses']",10,the legs are on a pole and feet are crosses,train,test,train,test,"[1, 10, 547, 16, 20, 26, 1299, 47, 200, 16, 2067, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1712,it does not have four upright legs,3PJUZCGDJ89A3IJA0M70CPVIAC0980,71,c45ff54d4192633684cd6dc1b226aa5b,chair,ShapeNet,12d7ca3c06faaadf17b431cae0dd70ed,chair,ShapeNet,False,chair/ShapeNet/12d7ca3c06faaadf17b431cae0dd70ed,chair/ShapeNet/c45ff54d4192633684cd6dc1b226aa5b,False,chair,chair,1,"['it', 'does', 'not', 'have', 'four', 'upright', 'legs']",7,it does not have four upright legs,train,test,train,test,"[1, 23, 39, 40, 84, 322, 163, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,there are no arms,3C6FJU71TSMN2GYVB10L7Y6YGA2UYB,103,eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,cb5f7944ec02defcc6a2b7fc00a47507,chair,ShapeNet,False,chair/ShapeNet/cb5f7944ec02defcc6a2b7fc00a47507,chair/ShapeNet/eb32fa1ae8069d0998e0d1738edd4f19,False,chair,chair,1,"['there', 'are', 'no', 'arms']",4,there are no arms,train,test,train,test,"[1, 15, 16, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
